tech,FR
offshore_float,99.48634339367372
offshore_ground,58.7434113514932
onshore,195.9017819412299
pv_ground,85.03829332030949
pv_roof_com,91.81883776253999
pv_roof_indiv,49.66144652335679
river,32.50293196722689
lake,14.519158723099101
nuclear,12.850919999999102
methanization,162.51200999998997
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,0.0
biogas_import,0.0
H2_import,0.0
coal,0.0
biomass_coge,0.0
geothermal_coge,0.9450025201314001
waste,4.309060221438507
marine,5.49674453973
rsv_dummy,0.0
ch4_ocgt,0.789097638508521
ch4_ccgt,29.97735797221485
h2_ccgt,0.42801512818031634
electrolysis,50.47966115391538
methanation,25.6469729605878
phs,9.96037502194502
battery_1h,0.0
battery_2h,0.0
battery_4h,26.223176724542146
battery_8h,2.9491026113995846
h2_saltcavern,23.77774906084676
ch4_reservoir,50.95532134581583
str_dummy,0.0
lost_load,0.0
