,0
offshore_float,0.7349629041195057
offshore_ground,0.43251451428699356
onshore,2.6722951662459744
pv_ground,1.0599148759610166
pv_roof_com,1.1650128213009299
pv_roof_indiv,0.618863110985196
river,0.2679309603798918
lake,0.10911606265911189
nuclear,0.07710551999997056
ocgt_coge,0.0
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.10737450077552059
ch4_ccgt,3.6009917305141252
h2_ccgt,0.04449513273794528
electrolysis,0.2594672140756865
phs,0.06054562267818003
battery_1h,0.0
battery_2h,0.0
battery_4h,0.7579025709885696
battery_8h,0.3715911622938216
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,12.340083870002438
