area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,26.0,4.0357976863882696e-06,1.9060379119908787e-05,22.491557890257695,0.00019736547947134839,0.0,0.0,0.0
CH,62.400000000000006,3.8469178440207586e-06,1.9428606982649355e-05,0.5755976422755982,1.763318111936509e-05,0.0,0.0,0.0
DE,130.0,3.907875886344283e-06,1.834631018741788e-05,80.03897871584046,0.00020589038245232423,0.0,0.0,0.0
ES,128.0,3.852866056397256e-06,1.7711993045063298e-05,74.3607797049584,0.00010259176248336779,0.0,0.0,0.0
FR,101.00000005026891,1.9780025950963113e-05,1.0164166647845958,43.86026207546202,5.835399614609882e-05,3999.99963707639,118900.0,0.0
IE,0.0,3.93211781083034e-06,1.6035571251242458e-05,4.149654840298891,0.0005861873863457821,0.0,0.0,0.0
IT,144.4,4.077484837975155e-06,1.8921681332891687e-05,105.42313379801878,64.90956823385056,0.0,0.0,0.0
NL,0.0,4.031609525418521e-06,1.907479821859181e-05,22.876894080531265,0.00019728703461429535,0.0,0.0,0.0
PT,94.0,3.841301646275373e-06,1.7626491811878054e-05,2.738781001028392,0.00010151678636827264,0.0,0.0,0.0
UK,56.0,3.948051378325216e-06,1.613115298321563e-05,73.48102776167858,0.00059518030225512,0.0,0.0,0.0
