year,area,dual
2057,FR,-2.499996481835187
2057,BE,-1.694830334548812e-07
2057,DE,-1.58202093410897e-07
2057,CH,-1.589977500771056e-07
2057,IT,-2.0522704490134384e-07
2057,ES,-3.4904643056432896e-07
2057,UK,-2.54763453635748e-07
2057,NL,-5.6160788616642455e-08
2057,IE,-4.2061515159730334e-08
2057,PT,-2.681358921563515e-07
