area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,62.017611950197264,70.61365078464632,-147.58899855911778,-16.430905398443404,57.879477509827424,74.31038290827084,128.38813704849633,5428,61.96347031963471,7970,61813.43013224137,205748.16142260557
BE,17.96367356137863,17.96367356137863,-39.407325991989204,-0.9245104617666918,12.982658197632311,13.907168659399003,107.12111840035423,4496,51.32420091324201,930,29194.25061365795,37292.962258734166
DE,95.97286565370922,95.97286565370922,-319.55555835861054,-44.114205804916104,73.34252314205024,117.45672894696634,160.14819768263965,6042,68.97260273972603,954,85959.96923554715,472400.4120866122
CH,9.261466683003515,9.261466683003515,-33.36048447214028,-2.2402993153096893,7.98378188714247,10.22408120245216,128.06062774482345,4094,46.735159817351594,895,17922.233641548013,37547.255643660894
IT,64.29132967930273,64.29132967930273,-149.33440702495494,-4.147967763368136,46.782840792614735,50.93080855598287,108.86642985567252,3822,43.63013698630137,8298,121237.63387964026,157573.83148674513
ES,44.41307314408009,44.41307314408009,-147.57850473823765,-14.872987514153866,38.82818166699934,53.701169181153205,138.30462018981083,4881,55.719178082191775,7964,66934.04453671849,197221.41516070635
UK,93.60944665884341,93.60944665884341,-130.4304204127816,-22.33796076332079,60.074230928361544,82.41219169168232,137.18393130984694,6042,68.97260273972603,955,65907.73024901556,261588.2665357057
NL,42.50661937225185,42.50661937225185,-85.79192697926004,-19.954140941185802,22.845839016308954,42.79997995749476,187.34256127315413,6639,75.7876712328767,929,23170.861968805024,197969.13661359268
IE,7.53175634442731,7.53175634442731,-49.448643771971,-19.252006360871874,5.0643916761498025,24.31639803702168,480.14449892446305,8054,91.94063926940639,2108,1490.8383030031694,170138.4140242408
PT,11.428578096972338,11.428578096972338,-40.03353729882833,-4.063508162950813,8.392052550067802,12.455560713018617,148.42090941051106,5153,58.82420091324201,188,16410.711113760604,52007.04262120973
