area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,0.0,0.00016486469739582918,0.0006122382113500894,327.61701855102166,0.004733182289176538,0.0,0.0,0.0
CH,0.0,0.00015248441512851835,0.0004813415365497171,0.0013559465864079084,0.0003975036362231328,0.0,0.0,0.0
DE,0.0,0.00016079214195906515,0.0005928589169361025,1372.8126057890522,0.004937730555564058,0.0,0.0,0.0
ES,0.0,0.00015069134924642705,0.0005260102530137638,1730.61729793767,0.0027648673682313636,0.0,0.0,0.0
FR,5.062734368166692e-07,0.00046150230642753024,0.002985907874057126,962.5101530253373,0.0019721649232065297,60.15176161188472,0.0,0.0
IE,0.0,0.00017058358227605276,0.0005594560036403222,126.82602455864698,0.0049022928021785536,0.0,0.0,0.0
IT,0.0,0.00016087599119788567,0.0005497342770509016,1949.4852128946088,388.3201563022756,0.0,0.0,0.0
NL,0.0,0.0001647415067322558,0.0006129735737477555,413.4586087719294,0.004733150985269307,0.0,0.0,0.0
PT,0.0,0.00015014728493286826,0.0005227316774733817,45.5980052003935,0.0027401630906512854,0.0,0.0,0.0
UK,0.0,0.00017108569308850878,0.0005622197701349792,1587.280908548227,0.00494901656378409,0.0,0.0,0.0
