technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
geothermal_coge,0.135,,0.9450025201314001,,-4.217963170006698
lake,13.03119,,16.776609271173246,,3535.3828914997102
marine,1.39303,,5.49674453973,,-129.54364064867138
methanization,18.55159936586457,,162.51200999994722,,11067.247811843523
nuclear,2.095714285714286,,12.850919999913359,,1200.2945476558086
offshore_float,29.2981,,108.49883779796107,,-6607.7287253322975
offshore_ground,18.49108,,63.8380664091166,,-3933.928149830715
onshore,80.65538,,216.2757307353665,,4381.336938618253
pv_ground,69.27483,,81.1911149435112,,-1287.9161247300901
pv_roof_com,85.9395,,88.039860520605,,-2971.6979324408326
pv_roof_indiv,41.81914,,47.4998160131396,,-4379.750940167634
pyrogazification,0.9265240018835843,,8.11634999380416,,0.0
river,7.6,,40.11878331702257,,3011.9598065672376
waste,2.841376989468684,,4.309060221438507,,355.4672172816625
ch4_ocgt,17.64402389766807,,1.4751123826418555,2.212668573962783,9.6965371082998
electrolysis,21.903480563902292,,85.57086039760154,41.78378590562585,-21.736663313263307
methanation,0.03597489853376094,,0.21749873103667142,0.17329018028830592,-0.10409588833597283
battery_4h,14.456689735866728,57.82675894346691,12.394151034139712,13.185031936703824,0.0
ch4_reservoir,88.417,118900.0,7.65005452151602,1.1253220577600587e-12,-19.125136303915383
h2_saltcavern,5.6808986107148955,3024.0359628841657,20.164476468236934,1.5631940186722204e-13,-200.38198606516517
phs,5.060000000942733,101.00000010588803,8.178668024917014,2.308117774278818,1047.4553095121091
