tech,FR
offshore_float,42.02065657113674
offshore_ground,39.2049676369863
onshore,29.388300358577258
pv_ground,13.748621917808219
pv_roof_com,11.987720091324203
pv_roof_indiv,13.3130803652968
river,54.88567877919134
lake,13.221106509305352
nuclear,64.6721179516819
methanization,99.99999999624087
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,2.799059004021264
ch4_ccgt,20.880212537781322
h2_ccgt,20.289241534528124
electrolysis,53.83929229117729
methanation,57.52701809202077
phs,27.40352947901709
battery_1h,0.0
battery_2h,8.6051074736486
battery_4h,13.266109117225842
battery_8h,0.0
h2_saltcavern,31.274041021026868
ch4_reservoir,5.422823845584311
str_dummy,
lost_load,
