area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,52.91508208342633,59.57149844349203,-128.4041685522609,-17.796188207126225,58.191494913009244,75.98768312013547,130.58211210028173,5482,62.57990867579909,1271,58342.63798635141,214237.24668077714
BE,17.931421269566087,17.931421269566087,-37.537106244234174,-0.7309194642518567,13.062820694704996,13.793740158956851,105.59541833524617,4341,49.554794520547944,666,30587.422108384304,36990.27661523057
DE,102.01914035677794,102.01914035677794,-275.83785460135914,-43.991155990369634,73.94424617459924,117.9354021649689,159.49233140668778,6162,70.34246575342465,128,71548.24464150336,456910.7711171413
CH,9.620891125736351,9.620891125736351,-32.99356702870926,-2.3402756818790875,8.060165015834851,10.40044069771394,129.0350839875043,4060,46.34703196347032,139,17285.771498782848,37786.58647204366
IT,62.78658311504346,62.78658311504346,-143.00009503180888,-5.320666712136784,47.10819273642719,52.428859448563976,111.2945676814778,3983,45.46803652968037,1314,116903.16579679516,163512.20619511342
ES,46.566234720018215,46.566234720018215,-144.15281758091797,-17.640464009002237,38.29351545184248,55.93397946084471,146.06645224616867,5091,58.11643835616438,620,59532.22700048745,214062.691719347
UK,99.67415549061288,99.67415549061288,-125.69845245979386,-19.56748048434901,60.8115654858383,80.37904597018732,132.17723524796588,5795,66.15296803652969,498,75707.80834790207,247118.93739079937
NL,39.00480717266817,39.00480717266817,-86.18388826893712,-19.137483008004615,23.187155784746004,42.32463879275062,182.53484465996678,6641,75.81050228310502,618,23423.606084089795,191067.9572342102
IE,8.141967312250088,8.141967312250088,-47.94052055551541,-16.9202078861063,5.232689801291706,22.152897687398003,423.35583664694764,7924,90.4566210045662,91,1807.6044871644333,150028.62556945562
PT,11.713485808607281,11.713485808607281,-33.332308231827525,-4.209633473765983,8.3193470706344,12.528980544400385,150.60052715705456,5246,59.88584474885845,620,15998.60370832553,52874.99293851555
