area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,64.36163915201753,67.65799466659976,-133.40241387959708,-12.87624820942164,58.54195663714601,71.41820484656763,121.99490578907539,5029,57.40867579908676,187,77996.3678393097,190792.30215384322
BE,18.944433424196145,18.944433424196145,-39.29005278131934,0.5804750646238771,13.136309540862086,12.555834476238209,95.58114048075497,3926,44.817351598173516,378,36419.98997172648,31335.028405621313
DE,104.09260173145064,104.09260173145064,-355.36044506028446,-36.16357925191867,74.80898009570254,110.9725593476212,148.34122749121147,5740,65.52511415525115,378,99760.4315337164,416553.385780524
CH,10.321769674246491,10.321769674246491,-35.61466895543921,-1.4918087246974658,8.162009994955143,9.65381871965261,118.27746750640516,3759,42.91095890410959,1050,19060.250428483305,32128.494856833102
IT,66.76013952355572,66.76013952355572,-141.6037141085207,-4.945967939758541,46.65862893589596,51.60459687565451,110.60032849776573,3859,44.05251141552512,1074,116168.4224691563,159495.1016214411
ES,46.69212738886689,46.69212738886689,-146.96170910544205,-15.779474203549466,38.539268517902165,54.31874272145164,140.94388609430828,4925,56.221461187214615,1388,66725.29679521911,204953.49081831248
UK,112.02354778596658,112.02354778596658,-145.3500185794883,-14.662358421749547,61.884870506130156,76.54722892787971,123.69296130351786,5250,59.93150684931506,354,101060.18491377466,229502.44468830072
NL,47.078927750748505,47.078927750748505,-101.9191270141832,-15.330616706305465,24.187559643661835,39.5181763499673,163.38223835790205,6105,69.6917808219178,377,34355.806138598215,168652.00848583409
IE,10.351800029825835,10.351800029825835,-49.834332939714606,-16.891592373160346,5.29998030599869,22.191572679159037,418.7104743397233,7395,84.41780821917808,355,3793.8675579254423,151764.21674681007
PT,11.190761320112273,11.190761320112273,-36.211741606982955,-4.4504082016267965,8.36117375474087,12.811581956367665,153.22707471667323,5423,61.906392694063925,8252,14753.757842671355,53739.33368892208
