,0
offshore_float,0.7586122498882348
offshore_ground,0.4501388398897683
onshore,2.6899232076541346
pv_ground,1.1893360364362973
pv_roof_com,1.28744449149099
pv_roof_indiv,0.6938082498034381
river,0.18559018698756546
lake,0.08553695105698719
nuclear,0.07434143436227145
ocgt_coge,0.0
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.08381169023619112
ch4_ccgt,3.771882421099882
h2_ccgt,0.08043791748291755
electrolysis,0.2681433331447611
phs,0.06690376733871313
battery_1h,0.0
battery_2h,0.2220330629644876
battery_4h,1.0012450348608315
battery_8h,0.0
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,12.909188874697472
