tech,FR
offshore_float,42.22583517363614
offshore_ground,39.69922819634702
onshore,29.285934163660094
pv_ground,13.998998515981734
pv_roof_com,12.215283447488586
pv_roof_indiv,13.527957191780823
river,46.460733344239536
lake,12.488616580415984
nuclear,67.49063368431987
methanization,99.99999999335475
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.032159929674772
ch4_ccgt,22.791297150629607
h2_ccgt,24.526953820669977
electrolysis,49.367419114861214
methanation,47.79072146789253
phs,25.156180378037668
battery_1h,0.0
battery_2h,8.491901031468302
battery_4h,13.279026245161207
battery_8h,0.0
h2_saltcavern,41.00386316883236
ch4_reservoir,6.649686542874359
str_dummy,
lost_load,
