area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,0.0,121.22926230085396,0.0,0.0,0.0,0.0,0.0,316.6071331701436,0.0,0.0,2165.7861912943285,1196.3784719344499,1029.9719326969278,1022.2790753554514,1683.2179934444684,1500.528768893692,0.0,0.0,0.0,0.0,8.531571238444255e-05,184.48290130219155,492.3083269125475,1319.92002982075,0.08625704793996006,5.211034448056774e-10,4.732480735453897e-05,0.0001510852905279343,165.2928654970069,49.73282923361181,0.0,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.3035665848187,0.0,0.0,0.0,0.0,1038.851001082246,817.823260284361,1349.3565732571358,1194.595718925075,268.6079958351295,0.0,0.0,0.0,1.7832482345868347e-05,7.881463926873156e-06,677.2557804735885,228.5506821364286,177.195574898785,0.0,4.7054001059980656e-05,0.00016619031727024058,38.168739211195756,6.737441869635312e-05,0.0,0.0,0.0,0.0
DE,0.0,0.0,131.05866194686914,0.0,29.33221861099861,0.0,0.0,0.0,3561.830248169496,0.0,0.0,17499.552425658174,9850.182752260303,11507.272627372571,7564.86515763034,12457.204240739848,11100.99924171838,1678.7999739790896,59.57227388471338,0.0,0.0,8.690703949689894e-05,1442.417996308097,5290.706149499147,4761.1947951610555,1153.3207254793904,0.0,4.552569668649403e-05,0.00014458775627522588,771.1499279371021,88.87396761950336,0.0,0.0,0.0,0.0
ES,0.0,0.0,75.35873061944976,0.0,838.9014522745601,0.0,0.0,0.0,2216.2499321941586,0.0,0.0,2902.1534963344,1635.0505783104147,7937.887136474598,3012.7165691357714,4931.411394017059,4457.881585256988,1074.4319833459658,0.0,0.0,0.0,6.504435258769824e-05,58.52605362558931,2583.686635397084,1537.9180135192305,343.563329990175,0.0,4.029985538343401e-05,9.734055425653052e-05,639.5648693749245,121.21713148804064,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,0.0,79.19699024969626,0.0,0.0,566.6895978315279,6431.557706085815,0.0,0.0,12690.684082232074,7374.110011605889,7161.446346638373,4165.77700928271,5977.475733372764,6092.3128796498,545.0291338214862,0.0,0.0,0.0,115.93816289254616,895.6142196469397,1760.3850854995992,110.50381658812172,0.000583017893645528,1.4242855475770377e-09,9.575213932611079e-05,0.0003232108415984788,579.7678046805602,0.000845393514147306,0.0,17.482616681212775,3.567228249930587e-07,0.0
IE,0.0,0.0,9.829399646015185,0.0,0.0,0.0,0.0,0.0,554.0624830481227,0.0,0.0,7103.778707445396,3987.9282397814995,1633.7485828985748,354.7909732115979,584.2574853278321,524.4566570890573,134.30399791645246,0.0,0.0,0.0,0.00013525774947730266,201.8856140389169,1697.3403479941155,286.73844665605765,711.8826398243597,8.532661843535179e-10,4.527768082219741e-05,0.00011855158941873105,47.196938645734875,9.854516940780417,0.0,0.0,0.0,0.0
IT,0.0,0.0,186.7585932742885,0.0,762.6376838859638,0.0,0.0,0.0,1464.3079909138028,0.0,0.0,3725.1522490262446,2113.6019670841947,6002.250228475199,3750.5615252893826,6178.522907341824,5506.794899435102,2484.6239614897477,0.0,0.0,0.0,9.254386218409251e-05,262.01302568313713,2083.5313509490934,3387.2527610777965,9.679230009188348e-05,2.2685029991767327e-09,5.1090171681738494e-05,0.00013404518740695856,812.2819068926634,410.93807383782496,0.0,0.0,0.0,0.0
NL,0.0,0.0,49.14699823007593,0.0,0.0,0.0,0.0,0.0,395.7589164628106,0.0,0.0,16113.449263229804,9092.47638670182,1065.4882062382012,1455.244330800113,2399.628957596453,2141.531349780317,0.0,0.0,0.0,0.0,9.137062123751186e-05,1175.9197791212625,1987.2639664462363,2072.465624950866,1156.427315724604,5.402738395119389e-10,4.72545654191311e-05,0.0001508707928005064,239.82521915519527,17.18216662539072,0.0,0.0,0.0,0.0
PT,0.0,0.0,150.71746123889952,0.0,0.0,0.0,0.0,0.0,197.87945823115177,0.0,0.0,1949.2075721648955,1076.740624741005,1509.4416255041183,655.461289492613,1085.049615608831,961.5038713299384,604.3679906313081,0.0,0.0,0.0,6.749668110917334e-05,0.06011040223505496,775.5694912306506,0.276192478054075,0.69502856636403,0.0,4.007272494999577e-05,9.669137383483302e-05,31.506901602681406,0.45645350729662637,0.0,0.0,0.0,0.0
UK,0.0,0.0,85.18813026546495,0.0,0.0,0.0,0.0,0.0,1424.732099267439,0.0,0.0,23650.385208934065,13319.680320870208,5425.110783429507,2176.8530898745494,3582.0548207599227,3190.444663958432,1343.039979182345,0.0,0.0,0.0,0.00014539173640972902,2986.819906312307,3296.6972977165283,6235.9374403361,344.1269747173429,3.584021320893994e-09,4.53498271697686e-05,0.0001189299196490041,378.91353576432374,127.61670572822297,0.0,0.0,0.0,0.0
