area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,58.3102413218271,65.91457454295758,-140.4616151454953,-12.769978528568386,57.32969263203974,70.09967116060811,122.27463281641884,5068,57.85388127853881,392,73338.42517867334,185203.4370889324
BE,18.58427937563922,18.58427937563922,-40.741806304654816,0.29503532512319547,12.999146947991257,12.70411162286806,97.73034856592041,3979,45.422374429223744,330,34057.33856039601,31472.829112316816
DE,92.48662816302875,92.48662816302875,-304.1099160543019,-36.47397668541211,74.1092787594475,110.5832554448596,149.21647774201602,5867,66.97488584474885,7361,86052.66559716917,405564.7013613793
CH,10.36644391243529,10.36644391243529,-32.740748909884545,-2.0126848406528555,8.022298778693857,10.034983619346713,125.08862978275349,4139,47.24885844748859,330,17554.756718060038,35185.87592217906
IT,71.1529413095253,71.1529413095253,-160.69146539988606,-4.48935455977822,46.268055605135004,50.757410164913225,109.70292462274982,3958,45.182648401826484,306,118834.48408261889,158161.23002627608
ES,48.34339295688346,48.34339295688346,-148.74526133007083,-13.755414215678723,37.823263129833144,51.57867734551188,136.36760310304675,4758,54.31506849315069,8444,67742.77522210282,188240.20375144843
UK,113.86015124090297,113.86015124090297,-119.45178609004144,-14.25381930654268,60.14063858202293,74.39445788856561,123.70081136917526,5248,59.90867579908675,378,98853.20025712508,223716.65738243898
NL,42.332267572906886,42.332267572906886,-89.89122728840019,-17.244596781343855,23.280843132764595,40.525439914108446,174.07204577172055,6404,73.10502283105022,401,26705.628205776196,177768.29601034836
IE,7.965587329437334,7.965587329437334,-46.6422975598235,-15.714686488846645,4.996583818270609,20.711270307117257,414.5086134927629,7562,86.32420091324201,8755,2686.203725458821,140346.85736775544
PT,11.029628581013686,11.029628581013686,-35.8169832456316,-4.093170539177051,8.264357879581324,12.357528418758376,149.52799235969698,5184,59.178082191780824,8252,15796.77759837795,51652.951521568924
