direction,partner,congestion_rent_M€yr,cap_gw,mean_util_pct,mean_flow_gw,pct_hours_at_full,pct_hours_idle,energy_twh
FR→DE,DE,1081.2984027762254,12.6,31.108395119620116,3.9196577850721344,19.337899543378995,52.45433789954338,34.3362021972319
DE→FR,DE,1515.7955571535094,11.0,33.05632759457199,3.6361960354029192,23.527397260273972,56.39269406392694,31.85307727012957
FR→CH,CH,578.5256925874808,3.3,40.42726288859614,1.334099675323673,29.37214611872146,49.97716894977169,11.686713155835374
CH→FR,CH,468.46770333924394,2.0,36.188441835173954,0.723768836703479,29.82876712328767,55.490867579908674,6.340215009522476
FR→IT,IT,890.1032217630107,3.1,44.452359401167534,1.3780231414361939,36.141552511415526,45.87899543378995,12.07148271898106
IT→FR,IT,526.3759564905126,3.1,32.611692022041645,1.010962452683291,26.91780821917808,59.74885844748859,8.856031085505629
FR→ES,ES,769.1170956447331,10.2,30.14878463794273,3.075176033070158,18.641552511415522,55.970319634703195,26.938542049694583
ES→FR,ES,1557.6857487178795,9.5,34.95771169218248,3.3209826107573353,25.26255707762557,52.10045662100457,29.091807670234257
FR→UK,UK,1905.3386321413923,9.8,37.70300504434,3.6948944943453195,27.796803652968038,51.15296803652968,32.367275770465
UK→FR,UK,1969.9692169444993,9.5,35.379477358725694,3.3610503490789414,28.139269406392692,56.461187214611876,29.442801057931526
