Date,Île-de-France,Centre-Val de Loire,Bourgogne-Franche-Comté,Normandie,Hauts-de-France,Grand Est,Pays de la Loire,Bretagne,Nouvelle-Aquitaine,Occitanie,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur
2040-01-01,-0.9707495833333333,-1.0702241666666665,-1.5079340456677648,-1.865484007665514,-0.9695970079983274,-1.7780304958321735,-1.9631758333333333,-0.5726075,-1.6251189549675438,-2.9295364536646478,-5.430887013307173,-3.6628862499999997
2040-01-02,-2.3899041666666667,-1.4080279166666667,-2.582004545825738,-2.194002254320027,-2.6539228834794253,-4.614405207463576,-0.7517970833333334,2.15685875,-1.125703369578168,-2.634294443293933,-5.584243399907444,-5.2216325
2040-01-03,2.8160458333333334,4.026784166666666,1.6561526705607108,4.424480808477684,2.3410587608534454,-1.6740541294464597,6.543035833333334,9.177950833333334,3.814760619876866,2.9144517379523656,0.45024706870168735,-0.03166291666666673
2040-01-04,5.447024166666666,5.7592766666666675,5.574563265746664,4.907662843554765,4.360073826758778,4.2489160226567995,5.8421650000000005,4.754849166666667,6.295481867121334,5.958816475335686,3.6249284827138473,4.832526666666666
2040-01-05,1.3965283333333334,1.4252604166666665,1.2288513054689907,1.8204228992374474,1.2243266251457385,0.21062068041207863,2.052615416666667,2.1228291666666665,2.8217678450366503,2.9615379156907293,0.7461180663094212,3.5236804166666666
2040-01-06,-1.43340625,-1.0478474999999998,-2.6886959623757276,-0.18026666039437592,-1.5015370403376525,-3.1886084039915703,-0.05748,-0.29919833333333334,-1.0060608708453747,-1.1609453864589503,-4.5391390368996065,-0.7631470833333335
2040-01-07,-4.161842083333333,-4.30197875,-4.562285859165409,-2.9670189442522616,-3.455985306244104,-4.491698061074495,-3.1149904166666667,-1.1336233333333332,-2.9491431320287402,-3.2882846094509777,-6.594111314680538,-3.5790908333333333
2040-01-08,-2.3048475,-1.1431558333333334,-2.091816864373121,-2.3779970647034707,-2.651683002272498,-3.2390155503061777,0.13079749999999998,2.756767083333333,0.9356245724285398,0.3294864515324929,-2.982632769987453,-0.9891983333333334
2040-01-09,1.397825,3.3626962500000004,2.3390339322943294,1.250565403746076,-0.2582638962163918,0.5991233242817093,4.748778333333333,5.600791666666667,5.363578048362842,3.2746108053443876,0.9201447635555691,2.5309104166666665
2040-01-10,1.6180145833333333,3.4219079166666666,2.082886595655048,1.3669550704164233,-0.6876882762147972,0.7138460177916953,4.7601325,5.488356666666667,5.4926267372102755,3.4113174785968665,0.43004146790971265,1.2547033333333333
2040-01-11,1.0043854166666668,3.50575125,1.945660174129273,0.714732492798131,-0.8603407381448163,0.245164741153175,4.942465416666667,4.784299166666666,6.0655458758302085,3.9469915974073717,0.5053119945909281,2.017270416666667
2040-01-12,-1.36706375,-1.6757891666666669,-1.968631538312242,-0.48747447541471917,-0.6341737319850133,-2.945188029185146,-0.8707420833333334,0.9752208333333333,1.5526176798984,2.0094317735564386,-2.7662989938823803,-0.05325833333333337
2040-01-13,2.4803504166666666,2.4230420833333333,-0.16351277383836554,3.9172023644882303,2.1639854863886008,-0.5052183905296339,4.293812083333333,5.790064999999999,2.5466905283542074,-0.11463058938031523,-3.234331715760914,-2.2845866666666668
