Date,DE,ES,BE,CH,UK,NL,FR,IE,PT,IT
2030-01-01,-3.2506187499999997,4.827606666666667,1.3341683333333334,-3.8663954166666668,3.0729175000000004,-1.5209741666666667,3.4346079166666663,4.4861354166666665,7.18944625,3.25714530770556
2030-01-02,-3.9284054166666666,5.17238125,-3.1794129166666667,-6.021802916666666,2.9464570833333332,-3.2288308333333333,0.4914820833333333,8.406699999999999,6.202799583333333,2.724997860820073
2030-01-03,-4.574163333333334,4.482600000000001,-3.3573404166666667,-9.4873125,7.618926666666667,-2.4739870833333333,-0.835265,8.625440416666667,6.6658704166666665,1.6147447676951794
2030-01-04,-2.4345516666666667,5.429127083333333,0.6275058333333333,-6.764222916666667,6.9386825,2.8808562500000003,1.5652833333333334,5.145154583333333,8.318112083333334,1.5747248696424028
2030-01-05,1.0901479166666668,6.7455074999999995,3.6956025,-2.543700416666667,6.4588,4.840516666666667,4.463756666666667,6.083577083333334,10.522802083333334,3.107004804548537
2030-01-06,4.0336316666666665,7.573133333333334,5.605361666666667,-2.441831666666667,6.797504166666666,6.9647033333333335,5.315599166666667,7.160871666666666,9.8866975,4.930315040837133
2030-01-07,4.504607916666667,6.66047875,5.695508749999999,-2.8363491666666665,7.38010375,6.6309587500000005,5.736305416666667,8.95462125,7.76026125,4.536701416816438
2030-01-08,7.320166666666666,5.901976666666666,10.096344166666666,-0.34088083333333336,7.814542500000001,9.710544583333332,8.206305833333333,7.511913333333333,7.325722083333333,4.702947756445255
2030-01-09,4.9357125,5.9788575,5.968249583333333,1.6834204166666666,5.420015416666666,6.360045416666666,7.55497625,5.5800125,7.9485762499999995,7.05735604722978
2030-01-10,2.243124583333333,5.7768275,4.114172916666667,-2.6750008333333333,5.240030833333333,4.676377083333334,5.96332375,8.386849166666666,7.1735541666666665,5.127985522606267
2030-01-11,4.71553375,6.612416666666667,7.5058533333333335,-0.76389625,5.8847137499999995,7.438659583333333,6.977388333333334,6.3091662500000005,7.546996666666666,5.354768564705721
