,heating_rate,heating_threshold,cooling_rate,cooling_threshold
DE,340.3429118887659,15.0,259.9195710253683,18.0
ES,419.74926317490866,14.5,653.6620907712404,20.0
BE,96.50581236669856,13.5,42.18931682714063,17.5
CH,83.42026464156149,11.5,47.07200363019886,20.5
UK,623.0959256813883,13.0,193.02502790762796,16.5
NL,90.50125826656283,13.5,85.90618384863438,16.0
IE,36.16099943363179,12.5,21.706862978445123,16.0
PT,84.14822953262531,15.5,73.89766496978814,19.0
IT,454.8529153623191,13.0,1049.0152040256767,19.0
