  60   6.45635009e+04  6.43483358e+04  1.16e-04 2.27e-12  2.23e-04   106s
  61   6.45530984e+04  6.43605319e+04  1.04e-04 5.68e-14  2.00e-04   108s
  62   6.45500314e+04  6.43746371e+04  9.89e-05 1.33e-15  1.82e-04   110s
  63   6.45448024e+04  6.43851788e+04  9.23e-05 3.87e-12  1.66e-04   112s
  64   6.45370858e+04  6.43964850e+04  8.27e-05 1.42e-13  1.46e-04   115s
  65   6.45311907e+04  6.44087420e+04  7.54e-05 1.70e-15  1.27e-04   117s
  66   6.45269985e+04  6.44125343e+04  7.04e-05 2.05e-12  1.19e-04   119s
  67   6.45233615e+04  6.44179638e+04  6.60e-05 1.74e-15  1.09e-04   121s
  68   6.45190002e+04  6.44213321e+04  6.08e-05 6.82e-13  1.01e-04   123s
  69   6.45157192e+04  6.44297129e+04  5.69e-05 4.55e-13  8.93e-05   126s
  70   6.45105908e+04  6.44329660e+04  5.11e-05 1.28e-13  8.06e-05   128s
  71   6.45073484e+04  6.44362111e+04  4.74e-05 2.22e-15  7.38e-05   130s
  72   6.45033077e+04  6.44387703e+04  4.27e-05 2.96e-12  6.70e-05   133s
  73   6.44965604e+04  6.44403352e+04  3.50e-05 1.42e-14  5.84e-05   135s
  74   6.44940840e+04  6.44432051e+04  3.22e-05 2.84e-14  5.28e-05   138s
  75   6.44924665e+04  6.44451731e+04  3.03e-05 4.26e-14  4.91e-05   140s
  76   6.44897387e+04  6.44466334e+04  2.73e-05 6.22e-15  4.47e-05   143s
  77   6.44880640e+04  6.44507077e+04  2.53e-05 1.42e-14  3.88e-05   145s
  78   6.44869604e+04  6.44526205e+04  2.41e-05 2.36e-15  3.56e-05   148s
  79   6.44856340e+04  6.44529536e+04  2.26e-05 3.87e-12  3.39e-05   150s
  80   6.44849605e+04  6.44538097e+04  2.18e-05 2.03e-15  3.23e-05   152s
  81   6.44834253e+04  6.44546644e+04  2.01e-05 6.82e-13  2.98e-05   154s
  82   6.44817795e+04  6.44568284e+04  1.82e-05 1.36e-12  2.59e-05   157s
  83   6.44807220e+04  6.44573534e+04  1.71e-05 2.19e-15  2.43e-05   159s
  84   6.44794850e+04  6.44579764e+04  1.57e-05 2.27e-13  2.23e-05   162s
  85   6.44784260e+04  6.44584707e+04  1.45e-05 2.50e-12  2.07e-05   165s
  86   6.44754496e+04  6.44594416e+04  1.12e-05 4.55e-13  1.66e-05   168s
  87   6.44738269e+04  6.44604929e+04  9.39e-06 1.42e-13  1.38e-05   171s
  88   6.44729825e+04  6.44608353e+04  8.48e-06 1.61e-15  1.26e-05   174s
  89   6.44725441e+04  6.44610712e+04  8.01e-06 2.84e-14  1.19e-05   177s
  90   6.44718897e+04  6.44612338e+04  7.30e-06 6.82e-13  1.11e-05   180s
  91   6.44715926e+04  6.44620576e+04  6.96e-06 1.74e-15  9.90e-06   183s
  92   6.44713928e+04  6.44620891e+04  6.75e-06 1.42e-15  9.66e-06   186s
  93   6.44708630e+04  6.44621972e+04  6.15e-06 2.05e-12  8.99e-06   188s
  94   6.44705045e+04  6.44624550e+04  5.77e-06 2.50e-12  8.35e-06   192s
  95   6.44700513e+04  6.44626669e+04  5.29e-06 1.42e-14  7.66e-06   195s
  96   6.44699363e+04  6.44628373e+04  5.16e-06 2.84e-14  7.37e-06   197s
  97   6.44696460e+04  6.44628836e+04  4.84e-06 3.39e-15  7.02e-06   200s
  98   6.44693538e+04  6.44632576e+04  4.51e-06 3.33e-15  6.33e-06   203s
  99   6.44691834e+04  6.44633449e+04  4.33e-06 4.33e-15  6.06e-06   207s
 100   6.44689269e+04  6.44634508e+04  4.06e-06 2.27e-13  5.68e-06   210s
 101   6.44686416e+04  6.44635069e+04  3.74e-06 9.09e-13  5.33e-06   213s
 102   6.44683184e+04  6.44638283e+04  3.39e-06 2.96e-12  4.66e-06   216s
 103   6.44680601e+04  6.44638937e+04  3.11e-06 1.42e-13  4.32e-06   219s
 104   6.44677689e+04  6.44640066e+04  2.78e-06 1.65e-15  3.90e-06   222s
 105   6.44675349e+04  6.44641052e+04  2.53e-06 3.55e-15  3.56e-06   225s
 106   6.44673782e+04  6.44642058e+04  2.36e-06 9.95e-14  3.29e-06   229s
 107   6.44672546e+04  6.44642909e+04  2.22e-06 1.39e-15  3.08e-06   232s
 108   6.44671501e+04  6.44643333e+04  2.11e-06 4.26e-14  2.92e-06   236s
 109   6.44670743e+04  6.44643764e+04  2.03e-06 1.59e-12  2.80e-06   239s
 110   6.44669134e+04  6.44644252e+04  1.86e-06 1.42e-14  2.58e-06   243s
 111   6.44667236e+04  6.44644744e+04  1.65e-06 5.68e-14  2.33e-06   247s
 112   6.44665166e+04  6.44645161e+04  1.43e-06 9.95e-14  2.08e-06   251s
 113   6.44663321e+04  6.44645908e+04  1.23e-06 3.52e-15  1.81e-06   255s
 114   6.44660599e+04  6.44647138e+04  9.23e-07 3.20e-15  1.40e-06   258s
 115   6.44659749e+04  6.44647582e+04  8.34e-07 1.36e-12  1.26e-06   263s
 116   6.44659420e+04  6.44648279e+04  7.94e-07 9.09e-13  1.16e-06   266s
 117   6.44658663e+04  6.44648427e+04  7.05e-07 6.82e-13  1.06e-06   269s
 118   6.44657357e+04  6.44648833e+04  5.73e-07 6.03e-12  8.85e-07   272s
