technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
lake,7.9,,13.81009434963708,,1764.539266982318
methanization,0.4566210045646447,,3.999999999986288,,526.1964338794145
onshore,11.7,,17.516234033999996,,881.2542671606525
pv_ground,13.6,,17.054143776,,303.35763062458466
pv_roof_com,19.4,,21.0538888,,6.366375677326005
pv_roof_indiv,8.2,,9.926743781999997,,-531.1826721124663
pyrogazification,0.4566210045629793,,3.9999999999716995,,253.79200462780392
river,8.2,,23.070722327810927,,2577.647901391905
electrolysis,10.000110355638185,,24.948643738546185,12.182287098241748,0.0
h2_ccgt,1.2681035606088384,,2.4630876019064396,1.6420584012709605,0.0
battery_4h,1.978941721493836,7.915766885975344,2.1024872196879874,0.23360969107367602,0.0
phs,3.12,62.400000000000006,5.725077298760612,-0.9899300396652064,628.7312574314763
