tech,FR
offshore_float,37.41768224254986
offshore_ground,34.894602625570776
onshore,26.5171217728202
pv_ground,13.661912785388125
pv_roof_com,11.967834474885846
pv_roof_indiv,13.2129801369863
river,54.26295716286526
lake,13.511831623030348
nuclear,70.00000000000912
methanization,99.9999999936631
pyrogazification,99.9999999260194
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.7190022868009833
ch4_ccgt,21.615930772624296
h2_ccgt,0.0
electrolysis,45.81029325459735
methanation,37.95246731493534
phs,22.17953851210432
battery_1h,0.0
battery_2h,0.0
battery_4h,11.544559145270581
battery_8h,19.570367187992357
h2_saltcavern,39.15916315272213
ch4_reservoir,6.7667337559042435
str_dummy,
lost_load,
