tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
offshore_float,18.070551689999995,0.0,155.50545908406664,16.77949762865714,84.14566106714167,60.02598385879999,18.308745832399996,145.19426746940002,15.2912518245,209.93527315215
offshore_ground,10.00501731,0.0,88.91253434266666,8.996104585,55.3545690963034,31.8986242,11.283296850199998,82.16829231599999,8.530842672,116.74141827914285
onshore,32.22022155733333,17.516234033999996,320.00938438628566,188.1541470441818,169.49942489795893,67.10903457599998,125.48475436342854,32.53206222,34.51527051,205.4869785388333
pv_ground,18.36724812,17.054143776,134.050489844,69.48324511199999,72.8993059873764,5.269776986,84.37434306840001,24.978540620000004,15.282167766,34.31396371
pv_roof_com,22.868010704000003,21.0538888,166.92304472999996,87.05586814200001,73.30364525125599,6.520667748000001,105.35685703199998,31.105157910000003,19.405746203999996,42.342316350000004
pv_roof_indiv,10.843223339,9.926743781999997,79.09527081600002,40.57735032,38.1860362527192,3.1627608120000006,49.04956539,14.824874883,8.861188578,20.332272731999993
river,0.12135684884287928,23.070722327810927,17.067210065288037,13.84375312799555,36.12610636074918,0.6702332476676044,32.24861439441922,0.08571302587151734,0.27092969457070853,5.0816500387437005
lake,0.0,13.810094349652601,0.39745973625733766,23.528858807664818,15.52971924447653,0.0,15.01020565136471,0.0,9.054018726333613,0.0
nuclear,0.0,0.0,0.0,0.0,77.60636578874572,0.0,0.0,0.0,0.0,0.0
methanization,7.999999999999933,4.000000000000357,89.99999999999986,55.99999999999994,160.75887999999773,13.999999999998078,37.000000000000995,9.999999999999728,5.000000000000622,35.999999999998096
pyrogazification,0.0,4.000000000000335,24.999999999999872,16.000000000002075,7.907049999999256,2.0000000000001457,37.000000000000966,0.0,8.999999999998545,19.999999999999464
ocgt_coge,5.50930409476262,0.0,0.0,0.0,2.253026804920317,0.3429027444872999,9.43474358441816,2.4088707024046365,0.0,5.715045741455
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_import,21.02726877194878,0.0,0.058677001262343126,3.2285045138119566,0.0,0.0,27.642970629609664,47.06329342970065,0.0,41.40584201696968
H2_import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_coge,1.2971864928000003,0.0,1.402363776,0.8063591712000001,0.0,0.10517728319999996,1.9983683807999997,0.5258864159999999,1.6127183424000002,0.9115364544000001
geothermal_coge,0.0,0.0,0.350000933382,10.010026694725198,0.9450025201314001,0.0,9.100024267931998,0.0,0.0,0.0
waste,1.00091601948294,0.0,0.0,0.39430025009934,4.309060221438507,0.0,1.1980661445326102,0.0,0.0,0.0
marine,0.0,0.0,0.0,14.599796699999999,4.9323637499999995,0.0,0.0,0.0,0.0,0.0
rsv_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch4_ocgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch4_ccgt,0.02003674124300252,0.29864667200807904,10.215000936813563,0.8637002763072503,0.010837850852469714,0.5303020478048981,6.722634875725885,4.509966433392764,0.05252906215945843,13.563561685484563
h2_ccgt,7.418886436856929,1.8902122456537254,32.770115791230374,4.784474015158365,0.0,3.4151991177913876,25.81009985350354,15.238676510019221,0.48043826766934195,38.556320719153966
electrolysis,8.61529344986737,23.227223726523164,193.17639577925618,84.27312702089712,58.824306488644,56.742998892176914,36.77064711097043,79.14051306904187,22.062927388205665,96.737205336368
methanation,9.80665480768806,2.3026492130104144,20.674720143027255,7.5887752253786065,7.672074947672175,15.990929794579655,15.791250421196311,14.059355237185995,3.2732863899934674,13.882871437749378
phs,1.3844747510591675,4.111067384023864,6.969412661208434,5.957924452487324,7.1968435215978195,0.0,10.787528709446532,0.0,7.3212531057706585,2.573218842492434
battery_1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_4h,7.261348097844696,2.247192024227377,23.047056551796896,27.128308877398933,7.813488991173316,2.275979606746829,43.94865973564563,4.839516083995142,2.554285230748279,13.773124790787596
battery_8h,3.8679448149110898,0.0,17.19327860803771,5.534068032851751,0.0,0.0,19.980269305315044,4.296173357781313,0.0,5.307024464664357
h2_saltcavern,0.0,0.0,0.0,0.0,20.95771082245996,0.0,0.0,0.0,0.0,0.0
ch4_reservoir,0.0,0.0,0.0,0.0,5.625902758611935,0.0,0.0,0.0,0.0,0.0
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
