tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
phs_input,1.809770916417177,2.625330377086871,8.994069116011692,7.264095708660806,10.942734923574218,3.363684761428292,0.0,0.0,3.277609052340671,8.947918646090542
battery_1h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_4h_input,8.068164553160658,2.496880026919318,25.607840613107538,30.14256541933191,48.831844150717885,15.303471989764102,2.5288662297186995,5.377240093327878,2.838094700831424,18.959098051745364
battery_8h_input,4.297716461012081,0.0,19.10364289781887,6.148964480945342,22.200299228125317,5.896693849627076,0.0,4.773525953090025,0.0,0.0
electrolysis_input,12.822094402326757,34.56895079180719,287.5033795884213,125.42323677411727,54.725554182807855,143.97345676707891,84.45029675429286,117.78439533425887,32.836134881465775,87.54789553458647
methanation_input,17.620019839978383,4.137264501850985,37.1471196090793,13.635064418447792,28.372788802703067,24.943925830574038,28.731560941586828,25.26102152818849,5.881248220178069,13.78473245390538
str_dummy_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demand,114.69660347640303,70.15506375530042,649.3389820722708,333.35973579473455,412.2718871892435,539.6419591562883,46.06654844503567,208.4200990738553,72.71819861960951,521.5358061627245
curtailment,0.8416170448756741,0.07532942332932537,1.342122878789615,0.18364025830412534,2.364771491423142,0.09614226503935679,0.0778906005884285,0.8040021986250462,0.14640153563661357,0.6292225707329915
elec_trade_exports,9.16869396249782,6.025325234907176,81.98660044648345,37.93775708496942,5.961919575782051,33.40258615979626,27.076292951443886,22.625511282333687,14.351371954103783,96.17645744282366
