type_jour,saison,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
lun,DJF,0.03256774854599356,0.031500494814351764,0.03110583923482784,0.03136674749136788,0.03238586854225819,0.034826086520042265,0.03996265672651443,0.04410261123118997,0.045931845598107895,0.046455858696849234,0.04694172448556596,0.04737077918801535,0.04713604301223229,0.04670972839478648,0.04594833849933088,0.045544366406589196,0.0457024169738239,0.047151063202175166,0.04754036752562288,0.04650038185998318,0.04403552025595977,0.041836853691753946,0.039963974719740746,0.03741268438291704
lun,MAM,0.03188246853659009,0.03086282285796014,0.030458970893422546,0.030788089215908563,0.03201641058582443,0.0349352902957732,0.040671404218395775,0.0446343420944828,0.046722893100423116,0.04719607204361584,0.047794611172509945,0.048333432954733434,0.04794858811373971,0.04739158063348642,0.04645532191563317,0.04576961483788038,0.04492914374349224,0.045097799124076035,0.04585863714685057,0.04599776446454715,0.044417928050351926,0.0425496434582912,0.04016017022874908,0.03712700031326228
lun,JJA,0.031410356079009084,0.03034001340120303,0.029794870278168833,0.029874947355600836,0.030787596051054973,0.03347492983911072,0.039352911374786914,0.04385213061890953,0.04658292245300749,0.047632817617379315,0.048626523670708945,0.04948342069849743,0.04914914262122899,0.048671653739954336,0.04778501965930478,0.04705898684562306,0.04622412273956603,0.04605740718665849,0.045813325207974924,0.04521376976156931,0.04367954486579141,0.04217182591191013,0.03998931781798067,0.03697244420500078
lun,SON,0.031271295250649034,0.030306110378180498,0.02987857764010003,0.030152748746206038,0.03130706665269823,0.03433241126975972,0.04066610040968587,0.04480543331215884,0.04669715537608006,0.04719386151180943,0.047927509268928345,0.0485466451659887,0.048117767261822056,0.04756308536888908,0.04673125199794463,0.046155811988083904,0.04570570606737987,0.04641562013452012,0.046781004109770076,0.04679549180192837,0.04484308717449797,0.04208578439134238,0.03933385464070687,0.036386620080869854
mar_jeu,DJF,0.034735440700457386,0.033537059945084935,0.03299112326842101,0.033130622051613844,0.033909176019959485,0.035902169506212146,0.040400693343559786,0.04414988826850248,0.045663268116417306,0.04595425403351715,0.04634502589021077,0.04668441398206831,0.046358418802280324,0.045841255660584765,0.04513817714943459,0.04476236459859681,0.04493439012277885,0.04637489018748732,0.046767122601854554,0.045744315434881555,0.043366030130933333,0.04117898169625011,0.039316803669330866,0.036814114819562316
mar_jeu,MAM,0.03435332278642006,0.033115482909538224,0.032528254113727,0.03277466230299393,0.03373786435336713,0.03616511930101134,0.04107083027913902,0.044524174201641474,0.04631671227803407,0.0466756599778378,0.0471335675277646,0.04756352849747008,0.04706127760782006,0.04646239818209865,0.04557976961485595,0.04488518887198303,0.044133140413807365,0.04435488611543194,0.044945493316783366,0.04505216517706276,0.043645589546477306,0.04187485361810217,0.039499608844927786,0.0365464501617049
mar_jeu,JJA,0.03416189384740156,0.032873716558643254,0.03213185643060883,0.03212932916596825,0.032786991014946684,0.03492171979539303,0.03992771905716576,0.043863567658030365,0.046148576489381025,0.04691701425888175,0.047760020139853004,0.04852672421296556,0.04810201333076322,0.04754036941863024,0.046708988300902844,0.046002047342735004,0.04523904865588751,0.04515305674439526,0.044927946352561234,0.044338941094859086,0.04286272900228052,0.041365099096130974,0.03924505597477553,0.03636557605683952
mar_jeu,SON,0.03363895143482174,0.03247925323859977,0.031887300024193356,0.032101637551554194,0.032999129150879186,0.0355074249019831,0.041011586906119765,0.044727569751551476,0.04624236580844144,0.04655059078057125,0.04712519299518202,0.047710759896724686,0.047267919446931185,0.046693511754003006,0.04587026071185077,0.04532535279200409,0.04498784583264007,0.04566832367210601,0.045977213166650134,0.045984463416261945,0.04413004656353679,0.04146053945449148,0.03875756224905707,0.03589519849984545
ven,DJF,0.03519994322742974,0.03397098298102895,0.03341081530940345,0.03357959182132908,0.03435887388861172,0.03625802344668939,0.0406527525854687,0.04451849916883145,0.04618267294474285,0.04658440365314311,0.04696220291382723,0.047151483590747514,0.04668564585404207,0.045742463674413786,0.04477207696574797,0.04433231276143567,0.044646152545208984,0.0460651483449407,0.04624273835161464,0.044955932420014486,0.042417080748708,0.04027701402528169,0.03867167715107793,0.03636151162626088
ven,MAM,0.034898565911945255,0.033592604774221636,0.03300556832307806,0.03323778312685686,0.034227000228696514,0.03659404961104108,0.041368000618910175,0.0448703579185506,0.04682503567752579,0.04730282228924837,0.04776513017204855,0.04798454826256243,0.04737712920953351,0.04625966797992676,0.04503651097681933,0.04430564612696511,0.04374402153184039,0.043986751242886354,0.044425542435125955,0.044374882744274986,0.042783825438583306,0.040949861783598475,0.03888119545416782,0.036203498161592795
ven,JJA,0.034859130278090705,0.03347133918306426,0.03269763993258083,0.03269600099863513,0.03334208040484546,0.03545450479182038,0.040371528817578876,0.04437637281413801,0.046812806120194145,0.047684841491554074,0.04853242115280296,0.049094984952008924,0.0485073634452074,0.04740785144698065,0.04623304482876839,0.04545997748728222,0.04481177829893525,0.044698184561261,0.044304445156785374,0.04343932227758284,0.0417176640189324,0.04013224947977302,0.03823713695259793,0.03565733110857994
ven,SON,0.03414793892589045,0.03290302054085643,0.03230230461161506,0.032501265637224316,0.033440401057338545,0.0359743759691402,0.04159002663691006,0.045520393192033055,0.047152429322422126,0.047500403875032515,0.04797746784494468,0.048315474042031986,0.04768003493820954,0.04663779057593994,0.04542893197155304,0.044707323995617124,0.04444441540310968,0.04507303028119771,0.04528222730848139,0.045056986243115896,0.04298446320032545,0.04029945017428718,0.037876690028699665,0.03520315422402395
sam_pont,DJF,0.038600194825477815,0.03700704382825359,0.036109793443890335,0.03583188109631011,0.035967879739938556,0.03621449323444421,0.03711569352991541,0.03939162466101484,0.04212307548861726,0.044351816128166716,0.04560232024949567,0.04634332460572414,0.045992236057669875,0.04480210225028648,0.04378829001060496,0.043560534057513936,0.04441963462274345,0.04653796060163395,0.047192405678239686,0.045784721815129534,0.043215191239113805,0.04141258661049125,0.04044517418430312,0.038190022041021454
sam_pont,MAM,0.03810703722895165,0.03641742177184623,0.035440851076832654,0.035319564145344234,0.035725562011717234,0.036489142943888324,0.038274732837432025,0.04097652744335301,0.043941080187334836,0.04592465596834218,0.04691278328653222,0.04736534150879738,0.046712428993410174,0.04531273126011057,0.04400791339087963,0.04332541042353408,0.042938748992807155,0.043657190035732284,0.04470507953035599,0.04473280927609008,0.043386661840884834,0.04202184047022693,0.04046762068618713,0.037836864689409194
sam_pont,JJA,0.03820386672130579,0.03648326865425379,0.035350012677934896,0.034978947559582294,0.0350213856884064,0.03561207980729291,0.037876587773753606,0.040829203168469025,0.04389887237264374,0.04608323034972569,0.047372332086979045,0.048071557172518924,0.0474037184359273,0.046022748221736604,0.044837655073874653,0.04425027018946278,0.043924357361017304,0.04427508609120868,0.044471746170036165,0.043946835092564536,0.0424440319347756,0.04124778109663949,0.03992654697528811,0.037467879324602674
sam_pont,SON,0.03797307135800521,0.03639494895306786,0.03545180546455139,0.03527943712796855,0.03552940843821201,0.0362812147994324,0.0382401854206613,0.04073722469462985,0.04344461149798887,0.04542383579610785,0.04657133017736673,0.047183718821208906,0.04655928893494953,0.045167563479234056,0.04398135146073971,0.043479696788746545,0.043716386862266164,0.045208813338466006,0.046032461220780724,0.0457200756086828,0.043650725885290155,0.041352486235899356,0.03957748010953136,0.037042877526212666
dim_jf,DJF,0.038522432839615525,0.03689160017846732,0.03598003999690579,0.035659348064300586,0.0356610438644087,0.03554942535544657,0.03546894647438495,0.0368703472459389,0.039388861824856174,0.04216817969584347,0.044196523745714276,0.04599453359028981,0.04594330877802137,0.04453480313715868,0.04347107067742373,0.043159579499143154,0.04426332154453867,0.04690588625062989,0.04821857849585456,0.047206676334792225,0.04524644993054409,0.04392100073843476,0.043509469812272696,0.04126857192501425
dim_jf,MAM,0.03840086967070646,0.036589006201186686,0.03558742629150232,0.035294877722900436,0.035511973138799786,0.035677949895830875,0.036098006828940654,0.03813450448504317,0.04130110421665914,0.043907658435741966,0.04551062921999919,0.04688451727526658,0.04641088469887033,0.04468913567515934,0.04332077620152135,0.04261201671302147,0.04251621697995279,0.04379139001091792,0.0455254790501665,0.04602084646939102,0.045557858087426455,0.04505085855907658,0.04418780503363543,0.041418209138283736
dim_jf,JJA,0.03804460540408972,0.03629459536372569,0.03521615027199888,0.03467574591065618,0.03458255714672426,0.03479952353603803,0.03597540548358464,0.038259721112598934,0.04128358785521442,0.04373794626886732,0.04552956787447904,0.047055679272853604,0.04678917437780832,0.04538775157781616,0.04424688500049703,0.04366499065471204,0.043559676041137724,0.044536226054869274,0.04556674512987502,0.0456636745464669,0.045131413767700634,0.04468372613798087,0.044007190124627824,0.041307461085677316
dim_jf,SON,0.03733086561397444,0.03570372944762936,0.03480262515825481,0.03455700690292912,0.034755810293409226,0.03517507701959257,0.03614370898040433,0.03790897627355412,0.04069962420054203,0.04326617466398757,0.04516588568670371,0.04680144233169812,0.04642255764991826,0.044936257959734556,0.043756592751766084,0.043286931120373705,0.043802308446467084,0.04596127324975426,0.04742561809678807,0.04754373901146122,0.04624247185050562,0.04443685607230361,0.04324153731637749,0.040632929901870625
