type_jour,saison,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
lun,DJF,0.027928405357704796,0.026180623121460807,0.025394652641640793,0.025192687961661984,0.025829753063409497,0.028525924790732293,0.03566480026205116,0.04311018040246282,0.048510785818704966,0.05057874050599638,0.05037752972217052,0.049879902414959904,0.04751354505518458,0.0471744290826105,0.048261247082226726,0.0489269068279815,0.04990263006254321,0.05142839007037729,0.051588678844808354,0.05067331598811701,0.04786598332434979,0.04424008636899897,0.039610607502323515,0.03564019372752277
lun,MAM,0.02906907223600201,0.02733791422183589,0.026629585887372343,0.026465730722342144,0.027148654460901145,0.029563763825780066,0.035654938533630505,0.04284898745556368,0.04854229385969215,0.04998796883857277,0.049739926300251334,0.04949723847056334,0.04683356794486309,0.04678780557851168,0.04799150596117118,0.048417410438307995,0.04845746469002861,0.04754280886371694,0.0479948080924669,0.0492370888499529,0.04897585817636061,0.04625351157298324,0.04154504777380118,0.03747704724532805
lun,JJA,0.03156924571566214,0.02963609823011644,0.02851788157090098,0.028041369476967275,0.0283044271770894,0.029674448028601155,0.03359028950038995,0.039175211334987387,0.044741301544230505,0.04740498987953809,0.04824115456531737,0.04873788672765955,0.04774428581824884,0.04800287611661386,0.048959604695286596,0.04929376752881015,0.04955336889875006,0.048759772176618886,0.04771244777113398,0.047329698528642467,0.047034574807593404,0.04608153348383382,0.0426855446522609,0.03920822177074679
lun,SON,0.028390012810186074,0.02679552959848559,0.02609388297252136,0.025917775507992426,0.02651097652726287,0.029109988113139335,0.03596086440354267,0.04252831843408252,0.0478160918618001,0.04966214985022353,0.04958710323143198,0.04949144272066683,0.04734065973258546,0.04735569251140626,0.04874227160638105,0.04933004263854418,0.049829897116384816,0.04976673743382854,0.04933529745843062,0.050305832030425636,0.04838440121924602,0.044725109444807294,0.040317132613045516,0.03670279016357959
mar_jeu,DJF,0.031226015977955185,0.0292593648631897,0.028245751592558967,0.027921753328599433,0.028326338877690774,0.030478900912702944,0.03665885472037949,0.04357011951839115,0.048329333276295676,0.04995113232913246,0.04952388657255755,0.048869394629604566,0.04635901958837955,0.04573927657175234,0.04672911796472772,0.047320255985720414,0.04829280818095259,0.049952450047087676,0.050430842514025805,0.049555295100517614,0.04672855694762908,0.043123105427161385,0.03865295768940188,0.034755467383586036
mar_jeu,MAM,0.03271768280427293,0.030703558953487108,0.029667742999801624,0.029352160277719887,0.029743213668355337,0.031619936901020385,0.03667513770222109,0.043221846118373826,0.04827576778609792,0.04950903881398698,0.04907036013737111,0.048549614021040965,0.04589706973593931,0.04550069248537634,0.04665520809687574,0.04698526371777653,0.046985097423144044,0.0460445361231291,0.046403939605518744,0.04765160539166271,0.04743349883729374,0.04470690874843608,0.04025245875557002,0.036377660895528484
mar_jeu,JJA,0.03450558052940819,0.032436032365108586,0.031185994576588983,0.030571437338295863,0.030559881931863497,0.03140520165905013,0.03447723220611756,0.03957652536837746,0.04453869945536304,0.046948041085221444,0.04767372028485108,0.048098056980839125,0.0468990842531854,0.04688878367742612,0.047789846373955676,0.04813015505267463,0.04835988339647069,0.04761585395048433,0.046691790653894845,0.046257035150986704,0.04569021973008811,0.04453244332813618,0.04124268852621532,0.037925812125397196
mar_jeu,SON,0.03223473288988382,0.030418063978562032,0.029418557720268582,0.02906909353306203,0.02936691877113688,0.031269042105929505,0.0369245380612931,0.04282803360602725,0.047422893074930424,0.04888385858683804,0.048752561482601986,0.04849968136763128,0.04613145973030396,0.045916013243108074,0.04710700792465178,0.047653965276855774,0.04820270424967767,0.04827712739413343,0.048057242535795186,0.048897996302232107,0.046869799268200237,0.04326289585164026,0.03902379918819795,0.0355120138570384
ven,DJF,0.032024322561672716,0.029953552593066087,0.028883283554582424,0.028499383817910527,0.028863681431017654,0.030949921692546116,0.03684620390788004,0.04349844577724689,0.04813327295419917,0.04982855112017253,0.04949716524805684,0.04886017507267793,0.04646114740642043,0.045532032401082556,0.046302802564483686,0.04674002607072821,0.04766331386834892,0.04952715923995861,0.050160276293988296,0.0493345497034458,0.04633682021594879,0.04269170531296852,0.03856117873147991,0.034851028460117325
ven,MAM,0.03359003309891764,0.031477491241443174,0.03039961471606419,0.030051439281149422,0.030392929614126006,0.032209835466627354,0.037110174267614746,0.0434868255746978,0.04831838336491895,0.0494441697468241,0.048996895799847756,0.04841684993889318,0.045773586683389725,0.04516936510692582,0.04599831639411668,0.04621917847568357,0.04607527061665601,0.04535938886702262,0.04607605003243015,0.047465855180706215,0.04708368605584803,0.04430304319314226,0.04007811403850954,0.03650350324444506
