direction,partner,congestion_rent_M€yr,cap_gw,mean_util_pct,mean_flow_gw,pct_hours_at_full,pct_hours_idle,energy_twh
FR→DE,DE,995.8669882164272,12.6,28.45816255366501,3.5857284817617914,18.43607305936073,58.25342465753425,31.41098150023329
DE→FR,DE,1564.2772084674984,11.0,37.230778322595754,4.095385615485532,26.643835616438356,52.18036529680366,35.875577991653266
FR→CH,CH,593.8903868115331,3.3,39.81821162073011,1.3140009834840938,28.299086757990864,49.98858447488585,11.51064861532066
CH→FR,CH,481.16313521432176,2.0,36.47874715593563,0.7295749431187125,29.863013698630137,56.33561643835616,6.391076501719922
FR→IT,IT,1158.2376912148673,3.1,47.988810524957465,1.4876531262736814,40.46803652968037,43.3675799086758,13.03184138615745
IT→FR,IT,720.8170103991382,3.1,29.05256940686209,0.9006296516127249,22.76255707762557,64.46347031963471,7.8895157481274705
FR→ES,ES,640.9522598566136,10.2,23.42117378265286,2.3889597258305915,13.116438356164384,62.990867579908674,20.927287198275984
ES→FR,ES,1259.1726661275798,9.5,37.33000338427427,3.5463503215060554,24.61187214611872,46.3013698630137,31.066028816393047
FR→UK,UK,2352.6936560804756,9.8,35.64776539124614,3.4934810083421217,28.207762557077626,53.99543378995434,30.602893633076988
UK→FR,UK,2839.461791376197,9.5,38.461968695293244,3.653887026052858,30.45662100456621,53.321917808219176,32.00805034822304
