technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.03,,0.10517728319999996,,3.698044766911126
methanization,1.5981735159798036,,13.999999999983077,,1557.4256469403986
offshore_float,16.4,,63.27459684179999,,-2262.4428858608508
offshore_ground,10.0,,33.7539087,,-1579.0522789272777
onshore,18.4,,69.895829392,,3721.0847178536605
pv_ground,5.9,,4.93482785,,83.69136524435658
pv_roof_com,8.4,,6.108746784,,-52.567566684727126
pv_roof_indiv,3.6,,2.9715768,,-256.4424340691791
pyrogazification,0.2283105022758745,,1.999999999936661,,86.28716350606936
river,0.2,,0.7969470642876016,,92.23176040416513
ch4_ocgt,3.1250031686245974,,0.3343116106684254,0.501467416002638,0.0
electrolysis,18.068543886184923,,55.10697417402454,26.908435886883225,0.0
h2_ccgt,2.1487845738531672,,1.6989796050449462,1.1326530700299644,0.0
methanation,4.077401179305135,,23.847829291033513,19.000545969305733,0.0
battery_4h,1.159528523522556,4.638114094090224,1.0182041869603065,0.11313379855100791,0.0
