,0
offshore_float,5.490562249876844
offshore_ground,3.10474344365064
onshore,16.95725213644392
pv_ground,6.469380178209096
pv_roof_com,7.926971852479119
pv_roof_indiv,3.7942774611053
river,0.833440797995121
lake,0.4330112107192802
nuclear,0.07710551999986046
ocgt_coge,0.0
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.5647078553154468
ch4_ccgt,0.0
h2_ccgt,4.740564369548033
electrolysis,3.357528315929165
phs,0.3485652420720046
battery_1h,0.0
battery_2h,0.0
battery_4h,7.263872041403258
battery_8h,3.6101468979420632
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,64.97212957268914
