,FR,BE,DE,CH,IT,ES,UK,NL,IE,PT
total system cost [1e9€],435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285,435.0000689070285
elec_demand_tot [TWh],511.3807188581452,114.98196464475085,652.0104574373137,70.80712363804275,408.7402249791604,334.9121746030604,539.4669525041539,210.56882275555233,45.619771404812745,72.8872626099141
H2_demand_tot [TWh],49.764499999999984,25.89999999999999,148.40000000000003,5.5,30.300000000000008,58.6,56.29999999999998,44.39999999999999,19.200000000000006,7.399999999999999
CH4_demand_tot [TWh],138.07292016872833,41.0,111.99999999999999,6.999999999999999,99.0,84.0,87.0,75.0,7.9999999999999964,12.0
elec_price_weighted_by_demand [€/MWh],182.05645809287313,167.21595892983512,167.79952998096098,172.32326967621864,189.37220294115465,163.73807391695473,187.41228538256252,173.82995546392735,189.69152476280144,164.04556067841798
CH4_price_weighted_by_demand [€/MWh],175.0000000018491,179.27595623031146,179.30217841857527,175.00000000311357,175.00000000644175,175.00000000159113,175.00000005745898,179.28424897888985,175.00000000042084,175.00000000073948
H2_price_weighted_by_demand [€/MWh],158.12124670102773,158.12124670102784,158.12124670102773,158.1212467010278,158.1212467010277,158.12124670102773,158.12124670102776,158.1212467010278,158.12124670102764,158.12124670102776
load_shifted [TWh],27.02097735047774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_shifted [%],5.283925723834973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attributed_cost [1e9€],71.93577851125663,19.48228721409947,93.2090147080229,9.24901408901163,53.1317510861064,42.91279818729135,85.0584674016617,51.73219198844199,13.642732387362102,8.916128467784318
primary_gene_elec [TWh],604.3111805537411,106.6487088055874,952.6710889604659,100.69203806731332,472.01874979667025,490.16728117845724,612.2623720638096,319.7608442892197,169.1625546900288,115.22678422336723
gene_elec [TWh],614.7720261701569,119.82601859939378,1001.9393747273544,103.1646002888526,508.50011845787037,499.06669744826866,682.4049911266515,342.223173392396,171.76750794891095,115.71797821851898
gene_curtailed [TWh],3.693203822754821,6.068120501811218,9.301614050291894,1.4244733421439086,5.560318318912837,2.3700337811048895,3.329946188561603,6.307334664441236,3.0651619535762196,2.1519653670853
gene_curtailed [%],0.6111427260655136,5.689820879944216,0.976372029977483,1.4146831958964208,1.1779867476256047,0.48351529612643024,0.5438756880219576,1.97251626554261,1.8119624400286347,1.8675912736692477
imports [TWh/yr],123.7967982825278,45.05468308850444,85.38999055758886,11.146642265099041,9.798889932527038,50.862377094387966,77.22952689136146,44.01385438918554,30.266382584196286,30.596248722331165
exports [TWh/yr],95.55741043782379,23.833392319055623,130.10568236111044,6.872259636963297,10.217232840775297,65.02877062378384,61.53139713837243,35.35122973535549,47.39723462858855,32.311604707323696
net_imports [TWh/yr],28.239387844704012,21.221290769448817,-44.71569180352158,4.274382628135744,-0.4183429082482597,-14.166393529395876,15.698129752989033,8.66262465383005,-17.130852044392263,-1.7153559849925308
lost_load [TWh/yr],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load [% of demand],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_gene_CH4 [TWh],170.62835999999166,36.36434651525412,115.49232939356129,7.999999999992113,103.55313591852888,85.63508090038005,103.17263715270572,76.43815084430709,15.999999999990742,13.999999999991608
gene_CH4 [TWh],170.62835999999166,36.36434651525412,115.49232939356129,7.999999999992113,103.55313591852888,85.63508090038005,103.17263715270572,76.43815084430709,15.999999999990742,13.999999999991608
gene_H2 [TWh],98.57207054648147,12.191479892209477,193.48958721760232,24.347328298350227,58.10640792112964,94.28860458246699,102.11189253027632,89.02385508964134,70.90931444149956,27.577740921838167
biogas_import [TWh/yr],0.0,28.364346515257196,0.4923293935764654,0.0,29.553135918542,13.635080900392303,47.172637152717726,66.4381508443103,0.0,0.0
H2_import [TWh/yr],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4_imports [TWh/yr],0.0,8.635653484655231,0.5076706063431786,0.0,9.587670827469623,1.210401724395206,9.531388432911578,8.561849155588204,0.0,0.0
CH4_exports [TWh/yr],14.818384791281845,8.205369714662234e-11,8.086874578081587e-11,0.9999998161288151,10.505313723613536,2.8454820810698673,0.5212988748787851,8.246372273531392e-11,6.344155498522335,1.9999994456230505
CH4_net_imports [TWh/yr],-14.818384791281845,8.635653484573178,0.5076706062623099,-0.9999998161288151,-0.9176428961439136,-1.6350803566746612,9.010089558032794,8.56184915550574,-6.344155498522335,-1.9999994456230505
H2_trade_imports [TWh/yr],0.0,32.247800098702236,34.357795456898636,0.0,29.987532619013717,0.0,48.244098517409434,0.0,0.0,0.0
H2_trade_exports [TWh/yr],25.908440590991304,0.0,0.0,14.726391262451767,0.0,20.85624413278874,0.0,15.295876758100178,48.691189684796186,19.359084262895852
H2_net_trade_imports [TWh/yr],-25.908440590991304,32.247800098702236,34.357795456898636,-14.726391262451767,29.987532619013717,-20.85624413278874,48.244098517409434,-15.295876758100178,-48.691189684796186,-19.359084262895852
CH4_import_cost [M€/yr],0.0,1548.1650361351876,91.0264456364109,0.0,1677.842394868946,211.82030177108706,1667.9929763071912,1535.0046957301734,0.0,0.0
