direction,partner,congestion_rent_M€yr,cap_gw,mean_util_pct,mean_flow_gw,pct_hours_at_full,pct_hours_idle,energy_twh
FR→DE,DE,1487.9214394466435,12.6,23.749645173061904,2.9924552918058005,14.988584474885844,63.23059360730594,26.213908356218813
DE→FR,DE,2737.6462337172707,11.0,42.578079222600934,4.683588714486103,31.92922374429224,44.98858447488585,41.028237138898255
FR→CH,CH,572.8442147182136,3.3,38.562878929026986,1.2725750046578905,27.671232876712327,51.05022831050229,11.147757040803121
CH→FR,CH,626.792164740205,2.0,39.22522623837497,0.7845045247674997,33.33333333333333,53.81278538812785,6.872259636963297
FR→IT,IT,974.4791309806092,3.1,36.08731005862053,1.1187066118172364,28.51598173515982,53.18493150684932,9.799869919518992
IT→FR,IT,772.7360092111269,3.1,37.62421873904588,1.166350780910422,29.121004566210047,52.88812785388129,10.217232840775297
FR→ES,ES,535.5038483224234,10.2,20.76714470123594,2.118248759526066,12.568493150684931,68.02511415525115,18.55585913344834
ES→FR,ES,1776.6214302380731,9.5,41.37161976758875,3.930303877920931,28.67579908675799,40.84474885844749,34.429461970587354
FR→UK,UK,2417.866327080539,9.8,34.75912774652239,3.406394519159194,24.292237442922374,54.155251141552505,29.84001598783454
UK→FR,UK,2638.5457646742107,9.5,37.56547418075418,3.5687200471716465,30.205479452054796,52.89954337899543,31.261987613223624
