tech,FR
offshore_float,39.311117609048296
offshore_ground,36.39333184931507
onshore,28.293279350120542
pv_ground,12.918147716894977
pv_roof_com,11.271938584474887
pv_roof_indiv,12.53279908675799
river,59.579275683307934
lake,14.408846642408912
nuclear,69.99999999990891
methanization,99.9999999967398
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.2848563722711837
ch4_ccgt,16.423148140826967
h2_ccgt,0.0
electrolysis,45.81029501506164
methanation,47.53260719167241
phs,24.871090564174782
battery_1h,0.0
battery_2h,0.0
battery_4h,11.778509853704719
battery_8h,20.02331342583758
h2_saltcavern,39.59351611875635
ch4_reservoir,6.398764243416539
str_dummy,
lost_load,
