technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.46,,1.6127183424000002,,90.30491068434574
lake,2.8,,7.405499560689312,,1284.2917168732624
methanization,0.7,,5.000000000000355,,612.9456325252872
offshore_float,4.5,,15.55877476125,,-20.49227170730319
offshore_ground,2.7,,8.856308718000001,,13.60369032082599
onshore,17.0,,36.32194848499999,,2852.1692016450147
pv_ground,10.9,,15.883242053000002,,994.8365880469072
pv_roof_com,15.6,,20.191339116,,995.0443671224118
pv_roof_indiv,6.6,,9.200403563999998,,-3.2297586856451517
pyrogazification,1.1,,8.99999999999825,,528.3233382095342
river,0.8,,0.19654962303002801,,24.642377311405802
ch4_ccgt,1.5,,1.0064288004178181,0.6709525336118791,-180.12723385536506
ch4_ocgt,0.3,,0.0,1.705890996411932e-09,-23.807270083200116
electrolysis,11.0,,27.18112528130372,13.272395698148472,-680.8094197304958
h2_ccgt,0.8,,0.8887480578541902,0.5924987052361266,-80.7297409693605
methanation,1.3,,0.6732503265080734,0.5364062121358955,-259.20273619078534
battery_4h,3.3,13.2,2.9948692414233187,0.3327632490470793,-106.33357311595722
phs,4.7,94.0,8.657464558960585,-2.740107510562712,1095.44781087226
