direction,partner,congestion_rent_M€yr,cap_gw,mean_util_pct,mean_flow_gw,pct_hours_at_full,pct_hours_idle,energy_twh
FR→DE,DE,1048.5394707811165,12.6,23.00507504377912,2.898639455516169,14.32648401826484,67.07762557077626,25.39208163032164
DE→FR,DE,1764.43364866075,11.0,39.426149273105075,4.336876420041559,28.504566210045663,43.77853881278539,37.99103743956405
FR→CH,CH,404.36668921939213,3.3,31.654471640923777,1.0445975641504848,21.34703196347032,56.0958904109589,9.150674661958247
CH→FR,CH,344.97424395536336,2.0,36.61166610598641,0.7322333221197282,29.143835616438356,50.53652968036529,6.414363901768819
FR→IT,IT,795.7145360052305,3.1,48.17122927369093,1.493308107484419,42.15753424657534,45.662100456621005,13.08137902156351
IT→FR,IT,380.8481741745279,3.1,30.444983825486375,0.9437944985900777,24.897260273972602,59.62328767123287,8.267639807649081
FR→ES,ES,261.6892413106052,10.2,17.00287304017974,1.7342930500983333,9.863013698630137,73.77853881278538,15.1924071188614
ES→FR,ES,1165.6361777867314,9.5,41.30830859325297,3.924289316359032,26.25570776255708,38.6986301369863,34.37677441130512
FR→UK,UK,1576.0567042708863,9.8,32.78609221121091,3.21303703669867,23.67579908675799,57.157534246575345,28.146204441480347
UK→FR,UK,1345.5186094969413,9.5,34.57009657973754,3.2841591750750667,26.51826484018265,51.99771689497717,28.769234373657586
