area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,26.0,0.0,0.0,40.0,24.0,0.0,0.0,0.0
CH,62.400000000000006,0.0,0.0,13.2,0.0,0.0,0.0,0.0
DE,130.0,0.0,0.0,132.0,112.0,0.0,0.0,0.0
ES,128.0,0.0,0.0,148.0,32.0,0.0,0.0,0.0
FR,140.0,0.0,0.0,60.0,0.0,4000.0,118900.0,0.0
IE,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
IT,144.4,0.0,0.0,160.0,80.0,0.0,0.0,0.0
NL,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0
PT,94.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0
UK,56.0,0.0,0.0,120.0,48.0,0.0,0.0,0.0
