technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
geothermal_coge,0.135,,0.9450025201314001,,63.48823461989505
lake,13.03119,,18.252666140447328,,4302.024848929605
marine,1.25,,4.9323637499999995,,249.88315072967112
methanization,19.0,,160.75887999996763,,20922.851934539365
nuclear,12.72746738421396,,77.65362752659165,,12438.779566070963
offshore_float,25.67147,,73.37381504876939,,-2099.162562890001
offshore_ground,18.10886,,46.732275983508494,,-1601.1657761343965
onshore,72.96889,,155.99472960123654,,12000.896434064478
pv_ground,60.91269,,71.555020177005,,4270.941011157922
pv_roof_com,69.92072,,71.8115503713928,,2925.972739179092
pv_roof_indiv,32.99132,,37.506426607681206,,-621.7812417806639
pyrogazification,1.0,,7.90704999992195,,444.40921911478017
river,7.6,,41.43297764773163,,5986.185557637778
waste,2.841376989468684,,4.309060221438507,,663.0564923714561
ch4_ccgt,12.0,,0.2634497464444217,0.17563316429628106,-1441.003197152962
ch4_ocgt,4.0,,0.0,1.7004156527178784e-09,-317.4302646265935
electrolysis,20.0,,58.50649256495362,28.56840223487613,-1423.640428888235
methanation,3.5,,4.033332701386659,3.213521971620926,-721.1467217111281
ocgt_coge,1.9711362838075168,,2.253026804920317,3.3795402073804737,103.99511823116114
battery_4h,15.0,60.0,8.48561842972918,11.037308861770486,-541.9796600813563
ch4_reservoir,88.417,118900.0,6.888614765525354,-1.2967404927621828e-13,-17.221536913790715
h2_saltcavern,7.0,4000.0,22.010391483666453,1.0658141036401503e-14,-234.62982278651498
phs,7.0,140.0,6.402961896518279,1.5284314378103927,292.26111919808193
