tech,FR
offshore_float,37.53475327475366
offshore_ground,35.04926655251141
onshore,27.847726385603195
pv_ground,13.991613242009132
pv_roof_com,12.258135730593606
pv_roof_indiv,13.509148744292238
river,54.123329369558746
lake,13.985635623441706
nuclear,69.99999999992912
methanization,99.99999998758608
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.6158309099728076
ch4_ccgt,20.173377120648727
h2_ccgt,30.241134336052962
electrolysis,49.91348405028891
methanation,41.41231731853981
phs,24.48178304893578
battery_1h,0.0
battery_2h,0.0
battery_4h,12.681679693140632
battery_8h,21.23777362674943
h2_saltcavern,41.4618611178302
ch4_reservoir,6.058047939928693
str_dummy,
lost_load,
