area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,0.0,34.2108942828,0.0,0.0,0.0,0.0,0.0,138.64840182584393,0.0,0.0,501.5,239.70000000000002,371.2,260.1,431.97,486.1600000000001,0.0,7.483187813402286,0.0,0.0,6.968431298432894e-05,53.687361405981,77.63502521913033,408.5562240257383,0.10702291817715624,4.2331465017944757e-10,6.850868750221008e-05,0.0001996593068275436,129.34350224993,22.233286365625446,0.0,0.0,96.2,0.0
CH,0.0,0.0,0.0,0.0,0.0,584.6,0.0,0.0,69.32420091263603,0.0,0.0,0.0,0.0,374.4,208.08,346.29,387.03999999999996,314.7038586959095,621.1674839050199,0.0,0.0,1.2229042414463993e-05,3.842319849646125e-06,115.89663239573653,102.30123906604554,19.27882984754349,0.0,5.384734202265899e-05,0.00011026413128801998,0.0001942202981232683,6.520392115332527e-05,0.0,0.0,230.88,0.0
DE,0.0,0.0,36.984750576,0.0,7.5375000000000005,29.6,0.0,0.0,1559.7945205472392,0.0,0.0,4052.12,1973.53,4147.2,1924.74,3196.935,3596.6400000000003,1125.9055844576149,329.2614988207541,0.0,0.0,6.915858316790128e-05,430.75750222639647,836.2554612527557,1623.0691936169071,790.5428004219394,0.0,6.628041929625461e-05,0.00019180027282369566,482.9869078177512,54.93464264441311,0.0,0.0,481.0,0.0
ES,0.0,0.0,21.266231581200003,0.0,215.5725,865.8,0.0,1271.875,970.5388127847225,0.0,0.0,672.01,327.59,2860.8,766.5300000000001,1265.5650000000003,1444.3200000000002,1280.268269508518,340.9456681518092,0.0,0.0,3.8125697993159654e-05,117.05935610549031,461.9656575592098,498.8663641746498,45.38739025753985,0.0,5.636376386242549e-05,0.00014823039770195506,494.97740932849683,54.77859352506926,0.0,0.0,473.6,0.0
FR,0.0,0.0,0.0,0.0,20.35125,964.3080600000001,0.0,478.8540625,2816.5038117548024,0.0,322.52120742809103,2938.59943,1477.437292,2580.97216,1059.904899,1534.0200750000001,1973.863408,649.6151481537474,581.732311144538,0.0,0.0,0.000315029986781485,134.1022787356625,391.2550904649219,72.60200828316584,0.0004010106065472025,7.010507636959665e-10,0.0001524780989560605,0.0005461717168610469,365.3430897430649,0.000998912557427426,11.695072585559776,162.4123271670084,374.440000026968,0.0
IE,0.0,0.0,2.7738562931999997,0.0,0.0,0.0,0.0,0.0,242.63470319565798,0.0,0.0,1644.9199999999998,799.0,588.8,90.27000000000001,149.94000000000003,169.92000000000002,20.34793036009998,15.438741497353126,0.0,0.0,7.049698399633949e-05,77.23427315840387,247.53005455677848,34.225608669974285,599.1530141756206,4.586745594293921e-10,6.060649538268081e-05,0.00014422897334756985,27.163372449250055,0.0005484821278328057,0.0,0.0,0.0,0.0
IT,0.0,0.0,52.70326957079999,0.0,195.975,666.0,0.0,0.0,641.2488584468258,0.0,0.0,862.5799999999999,423.47,2163.2,954.2610000000001,1585.6155,1784.16,2809.9167750412666,980.9809260791137,0.0,0.0,5.77616135581954e-05,93.37961015452545,326.52666966233926,1273.360957781897,4.8921997575772417e-05,4.912329873182553e-10,5.8777951295884754e-05,0.00013850225616465837,792.6996173470441,231.44520876003907,0.0,0.0,534.28,0.0
NL,0.0,0.0,13.869281465999999,0.0,0.0,0.0,0.0,0.0,173.3105022824689,0.0,0.0,3731.1600000000003,1821.7200000000003,384.0,370.26,615.825,693.84,0.0,3.022474533280432,0.0,0.0,6.54924361830159e-05,425.6420752610283,332.53999626923417,634.4347650321844,611.0796417715292,4.0884824160449165e-10,6.83121844983241e-05,0.00019908460913048903,158.18579524371088,1.4971531065382104,0.0,0.0,0.0,0.0
PT,0.0,0.0,42.532463162400006,0.0,0.0,207.2,0.0,0.0,86.65525114094697,0.0,0.0,451.34999999999997,215.73000000000002,544.0,166.77,278.46000000000004,311.52,720.2190596727457,59.263827336110964,0.0,0.0,3.6580190731718436e-05,18.366218433863274,127.59029198992856,34.48978580078012,0.3308128249896161,0.0,5.63477453234761e-05,0.0001480079649330048,32.44646209656198,0.3848425939530933,0.0,0.0,347.8,0.0
UK,0.0,0.0,24.0400878744,0.0,0.0,0.0,0.0,0.0,623.9178082184205,0.0,0.0,5476.38,2668.66,1955.2,553.86,919.2750000000001,1033.68,1528.1094531986619,166.7534433596532,0.0,0.0,7.753041184618945e-05,1016.8851830166758,503.2306554818847,1499.2661800830697,592.080831289684,1.6952254843967475e-09,6.061702575657503e-05,0.00014427844394832606,400.8626486970373,0.0005499965660285964,0.0,0.0,207.2,0.0
