type_jour,saison,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
lun,DJF,0.037417352015124826,0.03602726369171805,0.036575752680987846,0.03560433873410047,0.03485302588446151,0.035781755691162556,0.038903797328450486,0.042402902838447804,0.043817434977367856,0.044557550641433165,0.04488792029826282,0.045376422862244054,0.04561617712977397,0.04508835203260209,0.04405180442004259,0.043300097494327006,0.042575574985026496,0.04293092096484836,0.04491748056447226,0.046466988308614184,0.04448617140145576,0.04240307696851642,0.04092136814456232,0.04103646994199714
lun,MAM,0.03708855134520864,0.03556515226970812,0.03593399874639607,0.034777723427697894,0.03399482669568354,0.03528266043986821,0.03892617438471637,0.04235683843281679,0.04427174567318436,0.04545691111517209,0.045755122331921035,0.046413058372693515,0.046650530523234826,0.04615430504344966,0.04503740529160769,0.04392367625053582,0.04268002331150934,0.041675349692310654,0.042602305311307404,0.04492590760190441,0.04392907971065626,0.04267898324073681,0.041807026312398674,0.04211264447528183
lun,JJA,0.03724098337397621,0.03468086242954684,0.0346456093042021,0.03315803394363792,0.03232532156736766,0.03348491988808655,0.035907486550781666,0.03889567642839513,0.04158725482121048,0.043912108984250534,0.04548335350684633,0.04704971223072193,0.04815210609529953,0.04822070821994704,0.04753057000060444,0.04676025628517676,0.04554844934406852,0.04464130829004126,0.04465353732598021,0.04526128804481971,0.04356587074793002,0.04224729386260619,0.04208626529817265,0.0429610234563303
lun,SON,0.036448709988088336,0.03436877658858009,0.0345670634838176,0.03322092874925313,0.032432148573511614,0.03391383182724027,0.03779777136348123,0.04193343281814475,0.04344186469029736,0.04485289530326035,0.04582652057462031,0.04661786303976895,0.04705628819272115,0.04663628173481177,0.04575483823099699,0.04482062561404114,0.04373983112875677,0.04340123582100849,0.044674426859340914,0.046760020272984,0.04556059771050875,0.043234358662519456,0.041394325112817196,0.04154536365942921
mar_jeu,DJF,0.039295132270007076,0.037810962108919044,0.038324136360704274,0.03728639027752978,0.03637251976334416,0.03682580402614783,0.03945467960779566,0.042547169472823824,0.043704208710713344,0.04415712433417044,0.044529674995528276,0.04490406661628959,0.045011137265215884,0.044358465017971534,0.04336770241665779,0.04264025242141861,0.04196955375904288,0.0422541862230268,0.04416146443393308,0.045444944321775746,0.043631395493248716,0.04160708295323512,0.04011685600752296,0.04022509114297775
mar_jeu,MAM,0.03987936901969692,0.03813567316040946,0.03846871111346298,0.03720517173806446,0.03620948153567396,0.036881176280524425,0.039671564796116776,0.04259976303205581,0.04414503826860197,0.04495318936964112,0.04521521971432191,0.0455727059653289,0.04561671445200133,0.04508874406723037,0.0439592918751504,0.04300133473681343,0.041810291674121064,0.04087654153111483,0.04162420427324292,0.04352467173052277,0.04252607219104196,0.04151071105782649,0.040617892042322315,0.04090646637471342
mar_jeu,JJA,0.040104299697521724,0.03743979431450284,0.03738130984781774,0.03583881927697319,0.03475021142166802,0.03514373991483514,0.0369650240247476,0.0393284165806339,0.04160930073875511,0.043541222423625306,0.04501917917754784,0.04633570968770674,0.04706623319117304,0.046958295021993356,0.04628893848418798,0.04561079079921936,0.044452860681433615,0.043450391426190255,0.04340104462337652,0.04381959129343218,0.042114928298265714,0.04088310194764093,0.04086798560798743,0.04162881151876449
mar_jeu,SON,0.039153146154944266,0.03697546400366121,0.03705921658130209,0.03570811976938452,0.03477922922283588,0.035475356770677,0.03857423430488468,0.04231171553896616,0.04351571692945411,0.04456972342889443,0.04526602079066711,0.04586835981591503,0.04601772466967898,0.045463017884264025,0.044595752271978706,0.04377608008208486,0.042682607124434585,0.04229019586049962,0.043468950161314204,0.04528850417888261,0.044205924929019834,0.042118760677831844,0.0403524341247654,0.040483744723658684
ven,DJF,0.03973957613174922,0.038341844269087946,0.038830312424791597,0.03774174810258728,0.03684943852359953,0.03728474245856582,0.03984489643805443,0.04299258825481596,0.04405592320435301,0.04450201481714736,0.04471025556629894,0.04502454864634351,0.04501507744964916,0.04437197160703968,0.04306839858661226,0.04217721049323936,0.04139323164728253,0.04176559834931577,0.043738118075573325,0.04464690679089523,0.04287432282849152,0.04106182227938204,0.03990853139558322,0.04006092165954112
ven,MAM,0.04065796780531319,0.038744380844888376,0.039082593035766146,0.03781465418050954,0.03674546785689891,0.037404557788428945,0.04009191368465862,0.042831582323715645,0.04435468878399331,0.045227826282218817,0.04526316876308065,0.04553892062845902,0.0457145345578647,0.045065948765056346,0.04368367029627733,0.04252696397161037,0.04120963981028639,0.04039233066225658,0.04108084034044778,0.042667010188576535,0.04173426735047365,0.04092724230322748,0.04041687435355897,0.04082295542243287
ven,JJA,0.04073277460354117,0.038123842856021085,0.03797793611512325,0.03634869289238948,0.03539041142518833,0.035689110713713244,0.03743398269496259,0.0398516951040558,0.04211461562873799,0.04400012200736762,0.045338988973874686,0.04647600636383621,0.04711980561706413,0.047110744217100174,0.04601632048301198,0.04519446922521104,0.04393836875695452,0.042784666241981496,0.0429780120872789,0.042767801608033125,0.041128055179316315,0.040097283707142585,0.04026903980581359,0.04111725369228069
ven,SON,0.03993242185417192,0.03771956225462829,0.03780437340632093,0.03642079589953428,0.03547690960820761,0.03605569235363194,0.03914151132341825,0.04281625728862316,0.04408372570582687,0.04504992306878293,0.04565225785436693,0.04606821676298789,0.046138779039590974,0.04556918071712817,0.04427088300439176,0.043277799026833506,0.04202970799864686,0.041628456475558386,0.04257634166667774,0.04392491081466238,0.0430569458153016,0.04142754981352524,0.039840083115153815,0.04003771513202873
sam_pont,DJF,0.04249329998882881,0.040694107574453124,0.0409370008380006,0.0394835982187458,0.03809604914447608,0.03778587007514302,0.038810504691944726,0.04026670693148108,0.0413618096475512,0.04253896752070604,0.04334525595635111,0.04390251211656113,0.044583189246229483,0.04425779717776579,0.042388474271751395,0.04136401814286145,0.04060601701087775,0.04138088650327958,0.0436036086178198,0.0447395473125084,0.043339985393498134,0.04183725072680538,0.04086348209141322,0.041320060800947085
sam_pont,MAM,0.04315772075340392,0.0409426013877634,0.040993881674007554,0.039298308627770916,0.03792205394163127,0.03772494558622592,0.03888262953607544,0.040287942530669016,0.041814627677407346,0.04341039363234985,0.04412174885471096,0.044700476817942224,0.045507663219584875,0.04535654382080067,0.04338699749259686,0.042044588224068674,0.04070124755822952,0.03988956076856898,0.04077480992253445,0.042377053111363784,0.041877341118272786,0.04148231218889899,0.04123446493567602,0.04211008661944658
sam_pont,JJA,0.04393801464269798,0.04102317718189713,0.040500745676506265,0.038449719982852765,0.036986515962094305,0.036530469434144605,0.036848332594340304,0.037824035486649595,0.03968666427095503,0.042009208967956194,0.043695299124742494,0.04513552940397473,0.046244067141222686,0.046689013851894993,0.044944425808418016,0.04419646847634576,0.04294038782089063,0.04227444386277449,0.042441417039186385,0.042664126047681945,0.04120896368901501,0.04048513539232614,0.04095233115684702,0.042331506984585675
sam_pont,SON,0.04299591843292205,0.04055834777294425,0.04043842722649257,0.03851694954682692,0.03703921459358889,0.03678030135681883,0.038095011196774525,0.039770919115398796,0.04092702924679126,0.04283053191924201,0.044049490264986065,0.044758572706679434,0.045698984635474234,0.045720164571777494,0.04349255443029419,0.04228920829121124,0.04104398142005151,0.04089904883246872,0.0423211172785937,0.04412745225061066,0.043485691196779266,0.041958870448465274,0.04073065048914812,0.04147156277566002
