type_jour,saison,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
lun,DJF,0.03533025563804868,0.03440081322422496,0.035831465850138244,0.03526445442981627,0.03481707809513756,0.03600704371815906,0.03913144658057731,0.04326232563754035,0.04552431342877748,0.045527389368790076,0.045717323936342084,0.04590151590196458,0.04596915471021165,0.044575464845816495,0.04425719023451469,0.04324811440185534,0.0423077085088082,0.04273212863436118,0.044897067652742026,0.04639791541384021,0.04413624995101748,0.0429707138176036,0.04151859452346689,0.040274271496245594
lun,MAM,0.034419556522089,0.03305466691778732,0.03453880695955316,0.03365106308415188,0.03315150988828084,0.03480345462504144,0.038696448635412176,0.04344448444634516,0.04679224803413332,0.047079277723423345,0.04713487225733457,0.04723648492812865,0.047486688279593625,0.04604125073989542,0.045568520952466496,0.044411063201136906,0.04277977772489451,0.0417597585913655,0.042471657112561165,0.04492085696299585,0.04365669449442694,0.04358264734301508,0.042419166868238996,0.04089904370772881
lun,JJA,0.03395170521655698,0.031765294840748796,0.03273717660780667,0.031169353760192593,0.030472883718205317,0.032021949699200226,0.034847126775488735,0.03928234110124952,0.04377660117538771,0.04557386473678662,0.04704282905233801,0.04843900266509197,0.049815466425037605,0.04842486523145465,0.04828339406230149,0.04779493460214651,0.04623152489966344,0.04491778084239546,0.04505769517078645,0.04577687184548474,0.043717510970909784,0.043801335071895785,0.04340673569400436,0.041691755834866784
lun,SON,0.0333350888875129,0.03177007364615302,0.03304442535074174,0.03195969397615569,0.03138100461116272,0.03313854577983927,0.03741865634347323,0.04292973621516522,0.04587584522795525,0.04646059805895626,0.04709938644389872,0.047680352500855235,0.0480007563720413,0.04645657336932518,0.046286412622188064,0.045446677082026044,0.04400910629150058,0.04344623346957223,0.0449238831565531,0.046996853947635454,0.045503583992062745,0.04438551688030974,0.042102596945679166,0.04034839882923714
mar_jeu,DJF,0.037525704282684154,0.03654128571758314,0.03790599875938713,0.0371070408097525,0.03622721177905531,0.036770871595902095,0.03950449637282155,0.04334717036255318,0.04529246944687869,0.045154648345616284,0.04520637645155052,0.04521281913285194,0.045186298935045284,0.04369876558468331,0.04343525156057608,0.04247057503081346,0.04157367675137082,0.04209145163083506,0.04434522637844556,0.0456505619399961,0.04328440787340365,0.0422201321043597,0.04073306550138591,0.03951449365244872
mar_jeu,MAM,0.03753973589489461,0.03612633009595649,0.037451615865773134,0.03627806667363181,0.03520450325427153,0.03599879033094057,0.03917186863632007,0.043351131286110636,0.04607513192171409,0.04628034658659074,0.04621359278412221,0.04624689651506623,0.04641002111745818,0.044886736298723355,0.044541616008810944,0.04346416655131697,0.04193688930065617,0.04094449219956171,0.04177972650274287,0.043833092356669434,0.04247395509581036,0.04252515502436194,0.04137728116175452,0.03988885853674142
mar_jeu,JJA,0.03714215640666099,0.03505474034089511,0.035839118933166124,0.034043031628251834,0.03269189211770424,0.03329628278718164,0.03558621687221172,0.03953877034951369,0.04337683639233876,0.044994668282378386,0.04635513578437423,0.047526788591945396,0.04863434602441689,0.0472077189282931,0.04705783983821603,0.04666376341537697,0.045217492263128954,0.043943411877595866,0.04414664788429709,0.04450807170603416,0.04237594353937075,0.042454190107356925,0.04198344826046545,0.040361487668825864
mar_jeu,SON,0.036506171212491216,0.034943797298149774,0.036163225673056125,0.03477573568439656,0.03363018395784853,0.03444200399082193,0.0379906072179752,0.043005754430252716,0.04544635883307844,0.04584098791028692,0.046248679850908095,0.04666319370464206,0.04681179841232073,0.045276746736263154,0.04509462375211856,0.04430722339981011,0.042927385975537614,0.04246095814197624,0.04404477233069114,0.04584469335351327,0.04425660647800503,0.043118701252998,0.04095761254569504,0.03924217785716352
ven,DJF,0.037839795643185695,0.03683250782686088,0.038162045950236555,0.03731905174452841,0.036393360897353684,0.036922071854723466,0.03970288685177451,0.04356835860141132,0.04538349808461786,0.045252153446341724,0.04544605124855344,0.045449664714643484,0.045277927339576036,0.0437282689312534,0.042963311377753714,0.042043085524146546,0.04098616503096027,0.04164193678524469,0.04408095950735114,0.04507821760783109,0.04299771870425405,0.04218276170313357,0.0410437799664644,0.039704420657800055
ven,MAM,0.0380751900955888,0.03659919912539898,0.03796951846197514,0.036738470982526805,0.035664323591517756,0.03632704876996481,0.03941080840926508,0.04341072674489752,0.046112835609197246,0.04635899549836782,0.04644788778791298,0.046307799857876475,0.046575322098644956,0.04489904242933589,0.04377576944176199,0.04261294104600686,0.04101452402862614,0.04036583049540277,0.04150944936148189,0.04320871969676078,0.041989708358697586,0.04247587623981153,0.04187177488948929,0.04027823697949075
ven,JJA,0.03777993649259829,0.035600449565541314,0.03644353960301045,0.03452713158785338,0.033127673922197426,0.03364499455104672,0.03590910290705437,0.03979214178459203,0.043615257773262105,0.04528901544456909,0.04668730290348177,0.04782492211457386,0.04878486209598798,0.047252433524228206,0.04645425640204387,0.04592084204860777,0.04446361383333322,0.04333534695741832,0.04388591603567918,0.043597364514261695,0.04147911264106955,0.04204535509127154,0.04205982430948851,0.04047960389682937
ven,SON,0.03716788484842511,0.03563817300729609,0.036786846343882004,0.03534914582802721,0.03420552143426495,0.035013429229003065,0.038527281461506,0.0434293757193862,0.04585654953368793,0.04626714175838014,0.046678051596939864,0.04686915885238786,0.046929365254875975,0.04520069207462274,0.044323002243049574,0.04344150611154167,0.04193183820275969,0.04162735565906835,0.04328405171610694,0.04457913613877672,0.04350988064344473,0.04285408398006098,0.041177708421065565,0.03935281994144065
sam_pont,DJF,0.04095048040573195,0.039513566156133856,0.04059313237484131,0.03935398653469301,0.03785573246122921,0.03745340243010894,0.03877339769495454,0.04070046449987168,0.04250043134314346,0.04342436858986051,0.04429835056951415,0.04431622014926273,0.045082691555699925,0.04395696141364747,0.04223831319614926,0.040834843111662834,0.03975893514151036,0.04079431303599645,0.04357326090923866,0.0449258175206822,0.04339516909934821,0.04304427128103848,0.041854628456404724,0.04080726206927624
sam_pont,MAM,0.041075397581313504,0.03912809410852647,0.04016852138835033,0.03840833658424415,0.03667908640176713,0.03656507674269495,0.03827610628017447,0.04047125961059338,0.04331931152148521,0.04471479894580467,0.04538246154541982,0.045547602033590734,0.046630383232428955,0.04532765489860524,0.04333272308813955,0.04195359083502253,0.040260486316374286,0.03961185453837598,0.041014827143231666,0.0429855433118213,0.0421288103884027,0.0431543127904047,0.04252049796804938,0.04134326274517907
