tech,FR
offshore_float,36.02489292117279
offshore_ground,32.831550228310505
onshore,26.660487243913312
pv_ground,14.003733333333331
pv_roof_com,12.162295319634703
pv_roof_indiv,13.567464726027398
river,52.98941813528525
lake,12.8245603320998
nuclear,70.00000000000624
methanization,99.9999999944422
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,0.771742584439971
ch4_ccgt,17.1818644326826
h2_ccgt,22.079738394464282
electrolysis,46.26131351375833
methanation,44.50092175038556
phs,20.04683326244667
battery_1h,0.0
battery_2h,0.0
battery_4h,12.33350676651577
battery_8h,20.493907209021202
h2_saltcavern,39.41439745637955
ch4_reservoir,5.876452109739957
str_dummy,
lost_load,
