area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,58.08685488103179,64.15471209978094,-149.15357105119313,-11.326104695869823,57.28428331789618,68.610388013766,119.77174896824,4926,56.232876712328775,768,76466.67974068217,175683.35687650187
BE,17.895787141768906,17.895787141768906,-40.0092388570007,0.03962106578906971,12.974243959444754,12.934622893655684,99.69461753676809,3992,45.57077625570776,200,33429.99904984091,33082.91851352866
DE,99.51385533912637,99.51385533912637,-282.8760807010278,-37.20571872934717,73.67323501553422,110.8789537448814,150.5009977117229,5653,64.53196347031962,209,98128.82914172688,424050.9252108081
CH,10.215384331464735,10.215384331464735,-34.14378857814303,-1.9382261657706232,7.996934032452196,9.935160198222817,124.23711584846325,3913,44.6689497716895,224,18243.62477380093,35222.485985951585
IT,64.01335378513407,64.01335378513407,-146.80641416086817,-3.556461548699228,46.23093931801323,49.78740086671246,107.69281697746837,3682,42.03196347031963,8466,124387.56793406002,155542.17110066523
ES,45.336411151356984,45.336411151356984,-132.29717596827814,-13.601419767406245,37.921312529204336,51.522732296610585,135.86748153015904,4656,53.15068493150685,908,70857.64933254287,190006.0864950216
UK,95.70245319248929,95.70245319248929,-126.54688644206237,-13.858066470659361,59.4422153225931,73.30028179325245,123.31350942331403,5256,60.0,426,93388.88269809028,214785.54498106628
NL,37.18560962179294,37.18560962179294,-83.16308409199272,-16.40620163210406,22.903011179868177,39.30921281197224,171.63338262929008,6315,72.08904109589042,209,28341.43397623636,172059.76027346792
IE,8.756106653720726,8.756106653720726,-49.63921022134517,-15.364347561168174,4.953508385190045,20.317855946358215,410.17102155523463,7491,85.51369863013699,19,3000.733423458144,137592.41805929132
PT,11.011298085009734,11.011298085009734,-33.39111133014016,-3.769298171057677,8.313593666881504,12.082891837939181,145.33897520242377,5060,57.76255707762557,692,17956.02339368789,50975.075372153144
