technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biomass_coge,0.46,,1.6127183424000002,,91.78569010157912
lake,2.8,,7.731523011021969,,1582.7728668690525
methanization,0.5707762557073521,,4.999999999996406,,657.7455418146697
offshore_float,4.5,,15.44228195175,,-412.09415585690044
offshore_ground,2.7,,8.669895317999998,,-231.71179890311078
onshore,17.0,,36.855268405000004,,2045.666778314002
pv_ground,10.9,,16.041419038,,518.2076633076075
pv_roof_com,15.6,,20.453032079999996,,394.2594161942325
pv_roof_indiv,6.6,,9.282096846,,-278.6023403474568
pyrogazification,1.0273972602731225,,8.999999999992554,,571.032009450642
river,0.8,,0.20526451575633184,,25.58356770863552
electrolysis,9.238122511361807,,25.55456731084847,12.478156284348003,0.0
h2_ccgt,0.13238318739035942,,0.0773744447701751,0.05158296318011674,0.0
methanation,0.3597561370893228,,2.0952989952256975,1.6694108462607438,0.0
battery_4h,1.296605059281527,5.186420237126108,1.5153223138347096,0.16836914598458397,0.0
battery_8h,0.002193719561558389,0.017549756492467112,0.004509511839620956,0.0005010568711321843,0.0
phs,4.7,94.0,10.504980960176402,-2.7753004582896654,1484.8526525398395
