tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
offshore_float,19.406285549999996,0.0,176.65530695173334,17.483242509828568,17.779883723999998,230.24904261449996,68.81977424719999,158.73102349459998,15.850887781499997,102.17067627133352
offshore_ground,10.86619842,0.0,101.99283998366667,9.486938339999998,10.957370201999998,129.57559291799998,37.5870818,90.101449564,9.020386962000002,60.422776044774
onshore,36.10242785466666,17.269046964,367.95726477257136,190.54288326654543,124.26192000114283,230.66695870400002,76.871013264,37.46934015,37.5618995,200.2332287098233
pv_ground,17.62680836,16.636553055999997,129.680561406,73.931875614,88.83318933720001,32.248133604,5.056730877,24.104556168,15.92720426,85.6977571427394
pv_roof_com,21.746231804,20.576276513999996,161.419828284,92.220314894,110.19479199749999,39.81485703,6.30619038,29.634215564999998,20.236128276,92.53772425822498
pv_roof_indiv,10.466899655,9.684450837999997,76.648577208,43.094282633999995,51.57244701,19.138458398999997,3.024791496,14.412133134000001,9.220477134,50.03877769623699
river,0.12781337013744967,22.537173601516557,18.030543138582416,12.23932700574491,28.853830082214795,5.551397039682214,0.8302473367156472,0.09045067688379027,0.1858347112671319,31.36388340773171
lake,0.0,13.859548226446053,0.4248893751252132,15.522852476461695,13.566319243505948,0.0,0.0,0.0,6.410570101318764,15.117119295721139
nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.850919999967996
phs,1.6925448028063168,5.288255450517794,8.502637124811887,9.312184167442672,11.960027385227221,3.112523949011579,0.0,0.0,9.122534466259463,6.588779801548295
battery_1h,2.7429009422970247e-06,2.8349116719664564e-06,2.6652120040748085e-06,2.559956430998982e-06,2.5997264115176837e-06,2.7826537768014597e-06,2.7696188995237266e-06,2.702263981406992e-06,2.553770025523112e-06,2.4880436686463765e-06
battery_2h,7.4307731316923505e-06,1.2481884132931089e-05,7.1377221214927914e-06,6.631511247976018e-06,6.859090211888554e-06,5.7564335238711575e-06,5.7440814037014815e-06,7.362993445684567e-06,6.613145565203315e-06,8.993079889084697e-06
battery_4h,6.845825233430783,0.8341615733190686,19.51673610837334,26.27155836361009,35.73230942496453,15.819918746930602,1.3608905380649574,6.136677136619416,1.1917429639094783,13.854560864537046
battery_8h,3.7277959612174247,3.3946465988294455e-06,17.126279535744676,5.8080212802319835,30.086408859850884,2.3700971113432674,0.01997885742548547,2.656331156919825,0.02579304127549042,8.075919710365849e-05
ch4_ocgt,0.005919509250220299,1.1157710499619773e-07,0.869311869650145,3.1892959141048133e-07,0.34997267005177163,2.850528247535608,0.343962814880423,0.6724545621622399,3.193958169587668e-07,0.07758883620210785
ch4_ccgt,4.2181232754151077e-07,2.348507086773027e-07,4.080299235027434e-07,3.0955611098595164e-07,6.164193515227708e-07,7.305225477798376e-07,7.625955370496954e-07,4.3139929550980064e-07,3.138223385330912e-07,4.305211947351115
h2_ccgt,12.388532482635679,3.5493998424523316,42.76043814168192,17.915881623136848,41.551382072176175,48.69185743166351,1.5628982151802333,19.26712960080223,1.4894536747013347,0.5728975999169931
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_coge,1.2971864928000003,0.0,1.402363776,0.8063591712000001,1.9983683807999997,0.9115364544000001,0.10517728319999996,0.5258864159999999,1.6127183424000002,0.0
geothermal_coge,0.0,0.0,0.350000933382,10.010026694725198,9.100024267931998,0.0,0.0,0.0,0.0,0.9450025201314001
waste,1.00091601948294,0.0,0.0,0.39430025009934,1.1980661445326102,0.0,0.0,0.0,0.0,4.309060221438507
marine,0.0,0.0,0.0,14.599796699999999,0.0,0.0,0.0,0.0,0.0,5.49674453973
ocgt_coge,7.423559312765187e-12,0.0,0.0,0.0,8.310122176567863e-12,1.5804665502696326e-11,7.763288456112383e-12,7.769827590142025e-12,0.0,9.40765337250902e-12
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elec_trade_imports,47.45142543883474,10.71317249236589,102.24116599741669,59.16271701717826,12.419457994225198,75.44629421675631,38.55944464766527,48.693826708417674,37.91007594609542,103.81534387198596
