tech,FR
offshore_float,40.528161706320596
offshore_ground,37.646089840182654
onshore,29.075110093176086
pv_ground,13.14166381278539
pv_roof_com,11.513322374429222
pv_roof_indiv,12.73116997716895
river,64.2709781907724
lake,16.286012490274963
nuclear,60.628931611136885
methanization,99.99999999183534
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.7490026521186042
ch4_ccgt,21.08814852753861
h2_ccgt,25.964501206855594
electrolysis,53.502942682212186
methanation,60.40467633794461
phs,28.470509502204283
battery_1h,0.0
battery_2h,9.483695269311676
battery_4h,14.647626725578686
battery_8h,0.0
h2_saltcavern,35.03000520785021
ch4_reservoir,3.949731260401971
str_dummy,
lost_load,
