tech,FR
offshore_float,104.01607658114455
offshore_ground,60.979836841567604
onshore,205.42761105216906
pv_ground,79.7498597255925
pv_roof_com,86.67574713407998
pv_roof_indiv,46.6388163763786
river,42.78904644028864
lake,18.591008383835607
nuclear,11.130536426002735
methanization,162.51200999997445
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,0.0
biogas_import,0.0
H2_import,0.0
coal,0.0
biomass_coge,0.0
geothermal_coge,0.9450025201314001
waste,4.309060221438507
marine,5.49674453973
rsv_dummy,0.0
ch4_ocgt,2.3064917493413812
ch4_ccgt,16.148421987907092
h2_ccgt,4.875892282660134
electrolysis,58.12115614992608
methanation,5.048984927656753
phs,12.619724160410007
battery_1h,0.0
battery_2h,6.830463691853422
battery_4h,10.535038416247177
battery_8h,0.0
h2_saltcavern,28.396356725388365
ch4_reservoir,30.591968863344192
str_dummy,0.0
lost_load,0.0
