,0
total system cost [1e9€],45.0014466772224
elec_demand_tot [TWh],502.4703747482499
H2_demand_tot [TWh],49.764499999999984
CH4_demand_tot [TWh],133.9730814504677
elec_price_weighted_by_demand [€/MWh],73.07760434614933
CH4_price_weighted_by_demand [€/MWh],2.760459044179486
H2_price_weighted_by_demand [€/MWh],1.9067862512949112
load_shifted [TWh],25.168298243280308
load_shifted [%],5.008911869857053
attributed_cost [1e9€],59.947432617951655
primary_gene_elec [TWh],661.3826641212426
gene_elec [TWh],690.5850224243833
gene_curtailed [TWh],56.21628237157385
gene_curtailed [%],8.499811897287417
imports [TWh/yr],0.0
exports [TWh/yr],0.0
net_imports [TWh/yr],0.0
lost_load [TWh/yr],0.0
lost_load [% of demand],0.0
primary_gene_CH4 [TWh],162.5120099999856
gene_CH4 [TWh],184.2908225874764
gene_H2 [TWh],78.17037652483972
biogas_import [TWh/yr],0.0
H2_import [TWh/yr],0.0
CH4_imports [TWh/yr],0.0
CH4_exports [TWh/yr],0.0
CH4_net_imports [TWh/yr],0.0
H2_trade_imports [TWh/yr],0.0
H2_trade_exports [TWh/yr],0.0
H2_net_trade_imports [TWh/yr],0.0
CH4_import_cost [M€/yr],0.0
CH4_export_revenue [M€/yr],0.0
H2_trade_import_cost [M€/yr],0.0
H2_trade_export_revenue [M€/yr],0.0
lcoe_elec [€/MWh],76.27730550245629
lcoe_CH4 [€/MWh],47.65723537033608
lcoe_H2 [€/MWh],28.885691931411987
lcoe_elec_volume [€/MWh],85.77778508715959
lcoe_CH4_volume [€/MWh],69.44063682376688
lcoe_H2_volume [€/MWh],151.58317087419508
lcoe_elec_value [€/MWh],100.9809061774524
lcoe_CH4_value [€/MWh],50.01480632474512
lcoe_H2_value [€/MWh],50.37488826522603
transport_and_distrib_lcoe [€/yr/MWh],
footprint [MtCO2eq/yr],11.403080413468315
