tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
methanization,0.0,0.0,0.0,0.0,162.5120099999856,0.0,0.0,0.0,0.0,0.0
pyrogazification,0.0,0.0,0.0,0.0,9.549535579765798e-09,0.0,0.0,0.0,0.0,0.0
biogas_import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,21.77881258749081,0.0,0.0,0.0,0.0,0.0
ch4_reservoir,0.0,0.0,0.0,0.0,46.12250523825368,0.0,0.0,0.0,0.0,0.0
CH4_trade_imports,,,,,0.0,,,,,
