,0
offshore_float,5.641862097112368
offshore_ground,3.2175080390435142
onshore,16.99479397220206
pv_ground,6.511005510025832
pv_roof_com,7.929548378391571
pv_roof_indiv,3.823205366614231
river,0.8226322894391134
lake,0.3684658863743912
nuclear,0.07710551999971221
ocgt_coge,0.0
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.5283761102136939
ch4_ccgt,0.14760931177050138
h2_ccgt,5.861019686616703
electrolysis,3.624349519460622
phs,0.33684826101945853
battery_1h,0.0
battery_2h,0.0
battery_4h,7.545079113908808
battery_8h,3.4107078695138493
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,66.84011693170643
