,0
offshore_float,0.7151947338993346
offshore_ground,0.422959432313418
onshore,2.6030319732277025
pv_ground,1.1997685999983516
pv_roof_com,1.29552813961515
pv_roof_indiv,0.7005428877473179
river,0.18818330044639026
lake,0.08944649871686121
nuclear,0.07710551999996282
ocgt_coge,0.0
natural_gas,0.0
H2_import,
coal,0.0
biomass_coge,0.0
geothermal_coge,0.0
waste,0.0
marine,0.0
rsv_dummy,0.0
ch4_ocgt,0.18414683950092248
ch4_ccgt,4.109894058002908
h2_ccgt,0.05405048863368941
electrolysis,0.2617622753812969
phs,0.05438992516463823
battery_1h,0.0
battery_2h,0.0
battery_4h,1.1012436969836228
battery_8h,0.0439586963768284
h2_saltcavern,0.0
ch4_reservoir,0.0
str_dummy,0.0
lost_load,0.0
biogas,0.0
elec_network,0.0
elec_network_primarygene,0.0
TOTAL,13.101207066008394
