tech,FR
offshore_float,39.80913168108627
offshore_ground,37.30218664383562
onshore,28.339925384089447
pv_ground,14.121794292237444
pv_roof_com,12.29198116438356
pv_roof_indiv,13.659269977168947
river,47.10989456821032
lake,13.059420672959574
nuclear,69.99999999996622
methanization,99.99999999613476
pyrogazification,99.9999984159726
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,3.317758263142514
ch4_ccgt,16.349112484673007
h2_ccgt,22.648151712762793
electrolysis,48.19261326594267
methanation,39.98567118595742
phs,20.450907663604074
battery_1h,0.0
battery_2h,0.0
battery_4h,11.629360303401919
battery_8h,19.658533914453123
h2_saltcavern,39.36438977433653
ch4_reservoir,8.2516553055809
str_dummy,
lost_load,
