tech,FR
offshore_float,102.17067627133352
offshore_ground,60.422776044774
onshore,200.2332287098233
pv_ground,85.6977571427394
pv_roof_com,92.53772425822498
pv_roof_indiv,50.03877769623699
river,31.36388340773171
lake,14.907749786143533
nuclear,12.850919999993803
methanization,162.5120099999988
pyrogazification,0.23036037839682882
ocgt_coge,0.0
natural_gas,0.0
biogas_import,0.0
H2_import,0.0
coal,0.0
biomass_coge,0.0
geothermal_coge,0.9450025201314001
waste,4.309060221438507
marine,5.49674453973
rsv_dummy,0.0
ch4_ocgt,2.2734177716163266
ch4_ccgt,34.24911715002423
h2_ccgt,1.5442996752482687
electrolysis,52.35245507625938
methanation,36.38866877420187
phs,9.064987527439705
battery_1h,0.0
battery_2h,0.0
battery_4h,18.98696029282108
battery_8h,0.7579085582211793
h2_saltcavern,24.06302937095406
ch4_reservoir,63.91178678665068
str_dummy,0.0
lost_load,0.0
