area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,0.0,121.22926230085396,0.0,0.0,0.0,0.0,0.0,316.60713316962705,0.0,0.0,2165.7861912943285,1196.3784719344499,1029.9719326969278,1022.2790753554514,1683.2179934444684,1500.528768893692,0.0,0.0,0.0,0.0,0.0004032890420878666,179.65045621196222,475.9723343150599,1270.9486564528818,0.12651053333850637,9.529584683188803e-10,7.283979845471291e-05,0.0001961158790289132,146.84023071493087,118.87826935959198,0.0,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.30356658433573,0.0,0.0,0.0,0.0,1038.851001082246,817.823260284361,1349.3565732571358,1194.595718925075,268.60799583341645,0.0,0.0,0.0,2.784206975471245e-05,1.3113153554783455e-05,823.0996111257364,279.73556809018027,66.1283594364092,0.0,8.176378616655453e-05,0.0003438067444681422,3.9423404283361787,9.482599500083616e-05,0.0,0.0,0.0,0.0
DE,0.0,0.0,131.05866194686914,0.0,29.33221861099861,0.0,0.0,0.0,3561.830248169005,0.0,0.0,17499.552425658174,9850.182752260303,11507.272627372571,7564.86515763034,12457.204240739848,11100.99924171838,1678.7999739773534,59.57227388471338,0.0,0.0,0.0004118791234040643,1511.7535885246198,5665.395720204517,5460.073262459293,228.36752592226773,0.0,6.991904305239603e-05,0.0001865871014299246,503.7405644089565,461.03600449967615,0.0,0.0,0.0,0.0
ES,0.0,0.0,75.35873061944976,0.0,838.9014522745601,0.0,0.0,0.0,2216.2499321936743,0.0,0.0,2902.1534963344,1635.0505783104147,7937.887136474598,3012.7165691357714,4931.411394017059,4457.881585256988,1074.4319833442523,0.0,0.0,0.0,0.00015722876951348723,0.001399596525134516,2758.8542674026185,1578.0572384942157,258.77603754501615,0.0,6.713912051211089e-05,0.00017529127216687172,635.9129166244081,0.0006076083843308045,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,0.0,79.19699024969626,0.0,0.0,566.6895978315279,6431.557711267215,0.0,0.0,12690.684082232074,7374.110011605889,7161.446346638373,4165.77700928271,5977.475733372764,6092.3128796498,545.0291390979332,0.0,0.0,0.0,442.1188475278374,936.4767560209201,1788.6111628801887,253.5056774167167,0.00039670293650584534,1.0928637186421757e-09,0.00015949567321681064,0.0005392035644437797,408.3882810492531,0.0011693962931070365,0.0,21.727772983699523,6.968312108167606e-08,0.0
IE,0.0,0.0,9.829399646015185,0.0,0.0,0.0,0.0,0.0,554.062483047593,0.0,0.0,7103.778707445396,3987.9282397814995,1633.7485828985748,354.7909732115979,584.2574853278321,524.4566570890573,134.3039979146277,0.0,0.0,0.0,0.00030602416183744737,46.32715454479581,2081.451479056291,132.671612801589,0.004161064939234663,1.0026018631143518e-09,9.266320699873139e-05,0.0002550090085540235,112.97467819120004,2.433966799766737,0.0,0.0,0.0,0.0
IT,0.0,0.0,186.7585932742885,0.0,762.6376838859638,0.0,0.0,0.0,1464.30799091328,0.0,0.0,3725.1522490262446,2113.6019670841947,6002.250228475199,3750.5615252893826,6178.522907341824,5506.794899435102,2484.6239614879782,0.0,0.0,0.0,0.00022227857442820703,110.2265750363494,2266.5515775666768,3487.3844226699807,0.00015161550077501728,1.170304464807945e-09,7.542460145728595e-05,0.00019579830651815286,819.8159362644358,365.0695794660927,0.0,0.0,0.0,0.0
NL,0.0,0.0,49.14699823007593,0.0,0.0,0.0,0.0,0.0,395.75891646229024,0.0,0.0,16113.449263229804,9092.47638670182,1065.4882062382012,1455.244330800113,2399.628957596453,2141.531349780317,0.0,0.0,0.0,0.0,0.00039674406789170396,439.06351442533344,2292.263258308146,1917.6782347496173,408.33289911619926,9.82088300523802e-10,7.253523995337586e-05,0.00019471720356089087,83.48639619604208,203.10038648872614,0.0,0.0,0.0,0.0
PT,0.0,0.0,150.71746123889952,0.0,0.0,0.0,0.0,0.0,197.87945823066073,0.0,0.0,1949.2075721648955,1076.740624741005,1509.4416255041183,655.461289492613,1085.049615608831,961.5038713299384,604.3679906295575,0.0,0.0,0.0,0.00018505365753980588,0.0014761914634441725,818.924632463758,96.36066814360073,62.314089304341444,0.0,6.689687361944494e-05,0.0001743660128765363,35.59434051482255,0.0006017610996174736,0.0,0.0,0.0,0.0
UK,0.0,0.0,85.18813026546495,0.0,0.0,0.0,0.0,0.0,1424.7320992669218,0.0,0.0,23650.385208934065,13319.680320870208,5425.110783429507,2176.8530898745494,3582.0548207599227,3190.444663958432,1343.0399791808734,0.0,0.0,0.0,0.00028975875673755574,960.6634461914056,3461.768937616436,4997.341301278824,0.004186433518679183,1.5365783456037124e-09,9.282607867456123e-05,0.00025521796264221065,485.5544517093264,186.09360211395696,0.0,0.0,0.0,0.0
