area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,58.56318098924326,65.04750913683986,-157.37717323502892,-9.954260125693773,56.96326273850518,66.91752286419894,117.47487704731674,4880,55.70776255707762,1055,80095.67023085646,167294.9889319339
BE,18.046936100204782,18.046936100204782,-39.86331960647727,0.8257248115548644,12.909775892108287,12.084051080553422,93.60387958353617,3595,41.03881278538813,810,39072.0198037299,31838.67045450929
DE,91.77264868162806,91.77264868162806,-285.46312978240985,-33.63136013012212,72.87778548139205,106.50914561151417,146.14761536450536,5516,62.96803652968036,209,100133.9936180097,394744.7083578795
CH,10.15388392452038,10.15388392452038,-36.85232291960264,-1.8162667316433339,7.889159373619105,9.705426105262438,123.02231005393078,3641,41.56392694063927,810,18384.17648005482,34294.67304925042
IT,63.01054258984408,63.01054258984408,-135.87389250452443,-3.194725229147262,45.78970899224755,48.98443422139482,106.97695027869287,3636,41.50684931506849,330,125939.27983230066,153925.07283963068
ES,45.7171858579942,45.7171858579942,-127.68173830321714,-14.443637976371676,38.04454113512075,52.48817911149243,137.965073425575,4840,55.25114155251142,524,63256.745929248296,189783.01460226413
UK,86.21633384526442,86.21633384526442,-132.58071225543253,-11.68834915597961,58.76853049176072,70.45687964774032,119.88878921792725,4976,56.80365296803653,810,99910.29821301752,202300.23681939894
NL,39.911549495440326,39.911549495440326,-90.94663117193858,-14.549842984306604,22.32213008351869,36.871973067825294,165.18124807026965,5956,67.99086757990868,8249,29180.960201694106,156637.58474421993
IE,9.557678389568347,9.557678389568347,-49.815009715108104,-15.523393066214838,4.960964243577364,20.484357309792202,412.9108033042559,7571,86.42694063926942,8131,2447.979952420079,138432.90321246206
PT,11.484051448132139,11.484051448132139,-35.135209046379856,-4.589445790975249,8.340621293683546,12.930067084658795,155.02522689108176,5436,62.054794520547944,500,15336.694379913768,55540.23950885695
