tech,FR
offshore_float,39.4600479809541
offshore_ground,36.65797614155251
onshore,27.425460272030104
pv_ground,12.729038926940639
pv_roof_com,11.109743036529679
pv_roof_indiv,12.358278881278538
river,60.080944766050536
lake,14.489643508400086
nuclear,69.99999999998855
methanization,99.99999999541998
pyrogazification,99.99999987398208
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.5655350115540922
ch4_ccgt,20.33940096195804
h2_ccgt,0.0
electrolysis,45.81029305890471
methanation,40.303502692042095
phs,21.030221328872127
battery_1h,0.0
battery_2h,0.0
battery_4h,11.273525602066668
battery_8h,0.0
h2_saltcavern,39.156530862760256
ch4_reservoir,6.400725588774033
str_dummy,
lost_load,
