technology,installed_power_GW,energy_capacity_GWh,annual_generation_TWh_yr,storage_loss_TWh_yr,annual_profit_M€_yr
biogas_import,21554.54118951272,,21.554541189512722,,0.0
biomass_coge,0.15,,0.5258864159999999,,36.730488814575004
methanization,1.1415525114105283,,9.999999999956229,,1315.49108380649
offshore_float,37.2,,143.7727933392,,-1682.2311526612084
offshore_ground,22.8,,81.520220936,,-1040.343161682902
onshore,12.0,,31.45643043,,1833.238190808103
pv_ground,24.2,,25.288697257999996,,318.1749000650441
pv_roof_com,34.5,,30.92933763,,-264.1436859474543
pv_roof_indiv,14.7,,15.115038918,,-1057.907386435997
river,0.04,,0.10522214223740968,,14.10897625101999
ch4_ocgt,15.742063023458622,,1.6923034694220744,2.538455204133111,0.0
electrolysis,26.13567167412746,,77.21924195788533,37.70573602709082,0.0
h2_ccgt,15.731653718851312,,21.155045895584706,14.103363930389811,0.0
methanation,2.58384879761856,,14.885896163983508,11.860205426094064,0.0
battery_4h,6.401411549771411,25.605646199085644,5.883498320709246,0.6537220354265658,0.0
battery_8h,2.833888871291888,22.671110970335103,4.352533086620106,0.48361478738235686,0.0
