area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,61.41730346688815,65.08480897226116,-159.6915164214539,-12.715021416982818,57.90710082040987,70.62212223739269,121.95762045904617,5013,57.22602739726027,7608,77041.729990187,188425.3176029565
BE,16.004101916041723,16.004101916041723,-44.2563211584987,-0.01201801931025606,13.007874021864717,13.019892041174973,100.09239034211168,3960,45.20547945205479,450,34027.2721056696,34132.549954827446
DE,94.92916757005077,94.92916757005077,-323.9100473911804,-40.25977193036133,73.76818835563672,114.02796028599805,154.57606161651796,5766,65.82191780821918,450,86048.85806263154,438724.46017259685
CH,9.291634800028515,9.291634800028515,-36.080623082534096,-1.8113399897612183,8.000102609617416,9.811442599378635,122.64145946807852,3587,40.94748858447488,1074,20924.65089100241,36791.98920131068
IT,64.29860476465701,64.29860476465701,-145.37902672646828,-3.1535816465311015,47.047478857268395,50.201060503799496,106.70297691423247,3741,42.705479452054796,426,126871.81938397061,154497.19460758308
ES,43.940889187271324,43.940889187271324,-156.21710347737877,-16.183479684733822,38.68540205350973,54.86888173824355,141.83355691211062,4814,54.95433789954338,1076,63633.917640299995,205401.1996785683
UK,80.87049088969334,80.87049088969334,-134.4120655928349,-15.684208767074033,60.089868046639744,75.77407681371378,126.10125346739068,5354,61.11872146118722,1026,81950.82864257824,219344.4974421468
NL,32.97666386924801,32.97666386924801,-94.20904328543128,-17.167791557221044,22.85770792288702,40.02549948010806,175.10723128993715,6328,72.23744292237443,7952,26542.624035592846,176932.47807684916
IE,8.439714332220861,8.439714332220861,-47.28360217660091,-15.722146894328157,5.1139664159934926,20.83611331032165,407.4354740609655,7612,86.89497716894977,7818,2373.2144120383628,140099.22120635302
PT,11.472357579168682,11.472357579168682,-34.871415094691365,-4.69723710239468,8.371997176530163,13.069234278924842,156.10652993962765,5354,61.11872146118722,140,15520.614297338492,56668.4113143159
