tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
offshore_float,19.283417135,0.0,168.42604653919997,16.97481219147143,99.48634339367372,63.964312666999994,18.941994138799995,156.4246484,15.897444687,222.93999357629994
offshore_ground,10.820433569999999,0.0,96.59377623999998,8.961151347,58.7434113514932,34.498496100000004,11.6735545274,89.00894804400001,9.025311708,124.78610926085713
onshore,34.961498989333336,16.901310348,349.7285667291428,211.12373969740912,195.9017819412299,67.998917456,131.74165816685712,36.880815150000004,41.62200329499999,214.88203348083334
pv_ground,17.199646809999997,16.77077268,129.079984658,76.50494848800001,85.03829332030949,5.410055504000001,87.49392581160001,24.070099966,16.81954148,34.150364687999996
pv_roof_com,21.460773928,20.602427714,160.66456895699997,95.40199351600002,91.81883776253999,6.634185936,108.7227403227,29.788221495000002,21.296544672,41.65621172000001
pv_roof_indiv,10.182639225,9.784096992,76.38988430399999,44.516068488,49.66144652335679,3.2532549120000005,50.813293355999996,14.355720414000002,9.71951772,20.347201743
river,0.1458446233594344,21.889629436556845,18.002104678000116,12.568893599133053,32.50293196722689,0.7651300234176636,30.374123689926474,0.09492197674663909,0.10612872138162689,5.018998419142211
lake,0.0,12.4862148758762,0.39806387485138733,13.56482003847317,14.58096225672862,0.0,13.716757922644819,0.0,3.7496287182793586,0.0
nuclear,0.0,0.0,0.0,0.0,12.850919999944427,0.0,0.0,0.0,0.0,0.0
methanization,7.999999999966769,3.999999999968046,89.99999999996231,55.99999999996458,162.5120100000563,13.999999999963485,36.999999999964636,9.999999999966725,4.999999999967966,35.99999999996336
pyrogazification,0.0,3.9999999999210476,24.999999999919478,15.999999999920158,8.116349999923202,1.9999999998707734,36.99999999990601,0.0,8.999999999920554,19.99999999990531
ocgt_coge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2_import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_coge,1.2971864928000003,0.0,1.402363776,0.8063591712000001,0.0,0.10517728319999996,1.9983683807999997,0.5258864159999999,1.6127183424000002,0.9115364544000001
geothermal_coge,0.0,0.0,0.350000933382,10.010026694725198,0.9450025201314001,0.0,9.100024267931998,0.0,0.0,0.0
waste,1.00091601948294,0.0,0.0,0.39430025009934,4.309060221438507,0.0,1.1980661445326102,0.0,0.0,0.0
marine,0.0,0.0,0.0,14.599796699999999,5.49674453973,0.0,0.0,0.0,0.0,0.0
rsv_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch4_ocgt,0.06219368215490535,0.0,1.682061189219231,0.0,0.0,0.02227315159695376,0.29786251104238654,0.687565649408128,0.0,1.1072635183329531
ch4_ccgt,0.0,0.0,0.0,0.0,2.8022012208108373,0.0,0.0,0.0,0.0,0.0
h2_ccgt,10.151165505782973,2.746293895833737,27.574532424579566,12.20470525966799,0.8376874095655403,1.1326891710514653,41.78639960914212,13.618288365526947,0.3386552555652153,33.35318538789198
electrolysis,14.71884806176039,22.713552034797626,168.05085859305723,92.80131849773282,81.85425929040224,51.46875079649331,54.97319774322875,73.18434087166098,28.25887074901155,97.3174064707537
methanation,0.006189334445874365,0.4779337267381001,45.26309942657806,10.917301074268678,0.0,25.458980276684542,0.0,29.241584971909884,1.5276761074163403,17.500164500039496
phs,1.8716853836073974,5.527558203698347,9.386747485381568,9.043517228871032,6.98361932853026,0.0,12.669180551770584,0.0,8.27091431226785,3.9300098432316153
battery_1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2h,0.0,0.0,0.0,0.0,0.0,0.516167462858137,0.0,0.0,0.0,0.03674654437264149
battery_4h,5.677187811114252,1.1503469569595295,17.202164314859864,29.3835994125266,20.774162290378687,1.9178445533220707,37.03127047886329,4.238302623627619,3.052297063466743,23.710998739711094
battery_8h,5.411975381349421,0.0,28.557009089869037,5.408320480926037,0.0012980212164375798,0.028045296908805258,21.273242107110747,11.306025321756344,0.1100439759517114,1.6113687063503186
h2_saltcavern,0.0,0.0,0.0,0.0,23.219214560970883,0.0,0.0,0.0,0.0,0.0
ch4_reservoir,0.0,0.0,0.0,0.0,7.981787921352883,0.0,0.0,0.0,0.0,0.0
str_dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
