area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,26.0,6.753795373874123e-06,3.292932483050089e-05,22.042992874094473,24.7970337851169,0.0,0.0,0.0
CH,62.400000000000006,6.344168687850619e-06,3.245594278663289e-05,4.031941882591425,2.755129398528022e-05,0.0,0.0,0.0
DE,130.0,6.374317181798147e-06,3.101200672112967e-05,65.80373114498107,130.90629315174368,0.0,0.0,0.0
ES,128.0,5.698813248924362e-06,2.254136378113291e-05,98.3093327565748,20.36092034707946,0.0,0.0,0.0
FR,101.00000001534268,1.2297716618992651e-05,5.485195198524942e-05,94.56445631413942,0.0064390566634812876,3999.999910410361,118900.0,0.0
IE,0.0,2.0088780279737752e-05,1.7584673819477468,8.646334930940652,0.15447053965236188,0.0,0.0,0.0
IT,144.4,6.916195192320772e-06,3.086573832855501e-05,126.41720251368088,84.51437188477361,0.0,0.0,0.0
NL,0.0,6.746343544549522e-06,3.286876781215731e-05,16.766141480370745,53.8261926394298,0.0,0.0,0.0
PT,94.0,5.6742978122332925e-06,2.241055724722899e-05,10.046964501266824,0.41297049558709187,0.0,0.0,0.0
UK,56.0,2.0163893958619532e-05,0.11394491861038346,114.90335687769111,8.717192745708957,0.0,0.0,0.0
