,FR,BE,DE,CH,IT,ES,UK,NL,IE,PT
total system cost [1e9€],395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632,395.7530490002632
elec_demand_tot [TWh],507.26620318679045,113.94897643153492,646.2093299953777,70.08089886024857,412.1359147896711,338.8841219887453,526.3872440885642,200.2335214044903,44.79834580410299,73.33869526640423
H2_demand_tot [TWh],49.764499999999984,25.89999999999999,148.40000000000003,5.5,30.300000000000008,58.6,56.29999999999998,44.39999999999999,19.200000000000006,7.399999999999999
CH4_demand_tot [TWh],134.6753829256089,41.0,111.99999999999999,6.999999999999999,99.0,84.0,87.0,75.0,7.9999999999999964,12.0
elec_price_weighted_by_demand [€/MWh],120.76135260578867,116.44959454194583,117.06458018004653,119.9913893202515,134.19176136737218,110.09427049569229,121.78109162477494,121.21513280904641,122.84941725152385,110.04357589802568
CH4_price_weighted_by_demand [€/MWh],157.54888765839,157.54888781919823,157.54888765281197,157.54888782822127,157.54888771480134,157.54888769901555,157.5488878731432,157.54888768759326,157.54888767536258,157.54888773830547
H2_price_weighted_by_demand [€/MWh],110.45944478147977,110.45944478147979,110.4594447814797,110.45944478147975,110.45944478147975,110.45944478147975,110.45944478147976,110.45944478147977,110.45944478147965,110.45944478147975
load_shifted [TWh],24.165159827128313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_shifted [%],4.763802452305301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attributed_cost [1e9€],66.00266902903891,13.084916645215344,96.39385293204138,8.937859727155613,47.84563483876245,41.090304631496956,72.17124237102804,39.040230753125385,15.099373628757592,9.807346619124623
primary_gene_elec [TWh],651.3357357978028,116.35235679297571,1001.0353606895764,98.43445204643305,465.77450672919304,505.42691018151135,664.6924493425327,351.1492618617466,182.62952988161763,119.84883934406099
gene_elec [TWh],654.9756244281793,126.5657159809136,1030.291954303375,101.18074594226678,507.8587688493775,517.6316154411794,699.1528982487575,365.45511587668176,183.7844922042661,120.1874945996262
gene_curtailed [TWh],8.228746902908563,9.884132266332223,15.771591536774048,2.9610982631938763,10.146617628797113,4.582616402461449,4.371620460967015,10.291732858753884,4.1022933116748215,4.109983310003202
gene_curtailed [%],1.26336487477221,8.494999619061378,1.575527914009909,3.0081929666221745,2.178439885009954,0.9066823135348527,0.657690705722792,2.9308712779826127,2.2462376781750306,3.429305892737349
imports [TWh/yr],114.24790641951506,54.907223012406504,119.0027398805354,12.193439524941672,12.34303048836921,66.03145142619435,87.82174505664852,57.712623523909265,44.7257811557072,43.269903455046546
exports [TWh/yr],115.71109991861684,33.91563540416638,148.02687458249068,6.274651793332108,8.548141855597091,76.13464976055464,75.910609067316,49.455921898361716,56.99221333717926,41.34727803322412
net_imports [TWh/yr],-1.4631934991017772,20.991587608240124,-29.024134701955276,5.918787731609564,3.7948886327721194,-10.103198334360286,11.911135989332521,8.25670162554755,-12.266432181472055,1.9226254218224241
lost_load [TWh/yr],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lost_load [% of demand],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_gene_CH4 [TWh],170.62835999997952,7.999999999966769,114.9999999998818,7.999999999889093,73.99999999987065,71.99999999988474,55.99999999986866,9.999999999966725,15.999999999834259,13.99999999988852
gene_CH4 [TWh],170.62835999997952,8.006189334412642,160.26309942645986,8.477933726627192,73.99999999987065,82.91730107415341,73.50016449990815,39.241584971876605,41.4589802765188,15.52767610730486
gene_H2 [TWh],105.07347385137312,14.71884806176039,168.05085859305723,22.713552034797626,54.97319774322875,92.80131849773282,97.3174064707537,73.18434087166098,51.46875079649331,28.25887074901155
biogas_import [TWh/yr],0.0,5.8369799836367517e-08,5.193727125205287e-10,0.0,4.266098888835278e-08,2.8680386678615358e-08,3.8623673254048376e-08,1.338347542908415e-08,0.0,0.0
H2_import [TWh/yr],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4_imports [TWh/yr],0.0,35.125538136210025,0.02357014484586802,0.0,37.98023058908888,12.03350580605539,43.287465860000985,56.73428166050792,0.0,0.0
CH4_exports [TWh/yr],31.255129372761484,1.9762419225729093,44.08151524916625,1.4779328104509495,12.23557708720138,10.95080462289266,27.01947020725562,19.256951047523145,33.40329607650713,3.527673800441432
CH4_net_imports [TWh/yr],-31.255129372761484,33.149296213637115,-44.05794510432038,-1.4779328104509495,25.744653501887505,1.0827011831627296,16.267995652745366,37.47733061298477,-33.40329607650713,-3.527673800441432
H2_trade_imports [TWh/yr],0.0,28.099761114548045,26.306695447900793,0.0,44.97080160534486,0.0,14.57123584240545,0.0,0.0,0.0
H2_trade_exports [TWh/yr],30.689380977181305,0.0,0.0,12.636395541741724,0.0,13.860143064960326,0.0,6.087193595787085,30.380935511403454,20.29444531912526
