year,area,dual
2040,FR,-130.5999996330465
2040,BE,-130.6175034953241
2040,DE,-130.60000000904677
2040,CH,-130.60000002726483
2040,IT,-150.06389659620055
2040,ES,-130.60000001094193
2040,UK,-130.60000001799327
2040,NL,-130.6000000085304
2040,IE,-130.6000000145921
2040,PT,-130.60000005213934
