area,tech,dual
FR,phs,-0.0
FR,battery_1h,-1229.3562971146534
FR,battery_2h,-1227.3562971146532
FR,battery_4h,-0.0
FR,battery_8h,-1203.3562971146532
FR,h2_saltcavern,-0.0
FR,ch4_reservoir,-0.0
FR,str_dummy,-0.0
BE,phs,-0.0
BE,battery_1h,-1199.048564881892
BE,battery_2h,-1197.048564881892
BE,battery_4h,-0.0
BE,battery_8h,-0.0
BE,str_dummy,-0.0
DE,phs,-0.0
DE,battery_1h,-1198.998812981671
DE,battery_2h,-1196.998812981671
DE,battery_4h,-0.0
DE,battery_8h,-0.0
DE,str_dummy,-0.0
CH,phs,-0.0
CH,battery_1h,-1248.3760304809355
CH,battery_2h,-1246.3760304809357
CH,battery_4h,-0.0
CH,battery_8h,-1222.3760304809357
CH,str_dummy,-0.0
IT,phs,-0.0
IT,battery_1h,-1478.9389950278437
IT,battery_2h,-1476.9389950278437
IT,battery_4h,-0.0
IT,battery_8h,-0.0
IT,str_dummy,-0.0
ES,phs,-0.0
ES,battery_1h,-1101.9359898545647
ES,battery_2h,-1099.9359898545647
ES,battery_4h,-0.0
ES,battery_8h,-0.0
ES,str_dummy,-0.0
UK,phs,-0.0
UK,battery_1h,-1235.3844216122366
UK,battery_2h,-1233.3844216122366
UK,battery_4h,-0.0
UK,battery_8h,-0.0
UK,str_dummy,-0.0
NL,phs,-998.3713753233608
NL,battery_1h,-1198.9953400179988
NL,battery_2h,-1196.9953400179988
NL,battery_4h,-0.0
NL,battery_8h,-0.0
NL,str_dummy,-0.0
IE,phs,-1034.702994558525
IE,battery_1h,-1235.3269592640474
IE,battery_2h,-1233.3269592640474
IE,battery_4h,-0.0
IE,battery_8h,-1209.3269592640474
IE,str_dummy,-0.0
PT,phs,-0.0
PT,battery_1h,-1101.9143832345032
PT,battery_2h,-1099.9143832345032
PT,battery_4h,-0.0
PT,battery_8h,-1075.9143832345032
PT,str_dummy,-0.0
