tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
h2_saltcavern_input,0.0,0.0,0.0,0.0,22.664552704272946,0.0,0.0,0.0,0.0,0.0
h2_ccgt_input,19.3300186946794,1.535409811318628,64.11095518718459,12.396940062767749,0.23921054814115758,1.0848592621491162,54.891578902989615,28.529617557650425,0.15111586755427012,58.990497219949326
demand,25.89999999999999,5.5,148.40000000000003,58.6,49.764499999999984,19.200000000000006,30.300000000000008,44.39999999999999,7.399999999999999,56.29999999999998
H2_trade_exports,0.0,14.764359976176198,0.0,15.83315630252853,31.362890459251823,28.973030266019126,0.0,4.627226428956963,18.148137397596667,0.0
