area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,58.22505479614969,64.7399698253918,-157.87309434970837,-11.867118571379546,58.16349292599536,70.03061149737489,120.40303629370872,4966,56.68949771689498,211,78442.92535930645,182398.88404459125
BE,17.2775147359619,17.2775147359619,-39.49174440883931,0.7094517045111027,13.106950133233065,12.39749842872196,94.58720985965859,3727,42.545662100456624,560,36336.855587115235,30122.05865559797
DE,103.4665019203922,103.4665019203922,-310.7335210358414,-30.682153129347565,74.30416635740222,104.9863194867498,141.29264162895896,5455,62.2716894977169,703,107139.63469121247,375915.29610429716
CH,9.803296513151562,9.803296513151562,-30.917352335848783,-1.7938254880643132,8.06673242238507,9.860557910449383,122.23732478204525,3940,44.97716894977169,8274,19678.745947878728,35392.65722332211
IT,66.68479603294492,66.68479603294492,-145.4713950388886,-3.401100895581673,46.73325245545029,50.13435335103196,107.27768926167478,3728,42.55707762557078,714,122450.26916357047,152243.9130088659
ES,46.067435284860224,46.067435284860224,-144.35385117576064,-13.429648581261883,38.42415433458204,51.85380291584392,134.95105829609656,4641,52.97945205479452,956,68425.21838511954,186068.93995697369
UK,108.52380323861436,108.52380323861436,-125.58069758596972,-9.98933460085896,62.387412944106764,72.37674754496572,116.01177886604862,5111,58.344748858447495,1098,110970.23825039313,198476.8093539176
NL,46.20592779954549,46.20592779954549,-97.23393636716371,-14.442162478475346,24.076238354599276,38.51840083307462,159.9851283484094,6055,69.12100456621005,713,32074.21668445726,158587.55999590128
IE,10.277201643298541,10.277201643298541,-46.601843894535804,-15.101669577185259,5.391017559295205,20.492687136480466,380.12651435621694,7577,86.49543378995433,1099,3297.6597062517226,135588.2852023946
PT,11.432127433652258,11.432127433652258,-34.058056482614134,-3.6093718725802866,8.34129300019398,11.950664872774269,143.27113161588198,5047,57.614155251141554,8108,16829.507088479706,48447.604692283014
