area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,26.0,1.0009292699100895e-06,5.573860645702664e-06,25.37580597094058,26.458374140726807,0.0,0.0,0.0
CH,62.400000000000006,1.1639257809885712e-06,1.1011326007769617e-05,7.2641436318784285,4.422644335904574e-06,0.0,0.0,0.0
DE,130.0,9.685635425234588e-07,5.356342872717265e-06,135.04231417044576,94.30341090620735,0.0,0.0,0.0
ES,128.0,9.40316407144059e-07,4.450406349812316e-06,105.51022616641609,21.102974238150736,0.0,0.0,0.0
FR,122.24091858540393,2.21033720018486e-06,1.2297178406716283e-05,61.776083018575555,55.691896260388745,3999.9999981186234,118900.0,0.0
IE,0.0,9.235433689964238e-07,4.045185718283149e-06,16.59008700679342,1.297864532788444,0.0,0.0,0.0
IT,144.4,1.0490452100776504e-06,5.244956984943077e-06,129.72311344157825,113.95153662487346,0.0,0.0,0.0
NL,0.0,9.997593993911233e-07,5.563858705910083e-06,14.44213447058672,55.081783716304656,0.0,0.0,0.0
PT,94.0,9.385435163161455e-07,4.440444435750259e-06,13.239015440420042,0.05009416593723407,0.0,0.0,0.0
UK,56.0,9.247387626962082e-07,4.0575512087325395e-06,68.34155632991853,67.3481308323046,0.0,0.0,0.0
